#vx_post  vy_post  v_post
0 0 0
-5.66887 -4.21189 7.0623
0 0 0
-10.9761 -6.74561 12.8832
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
6.29921 -3.01136 6.982
0 0 0
0 0 0
5.86391 -6.73741 8.93186
0 0 0
0 0 0
-4.6948 -1.30114 4.87177
0 0 0
0 0 0
0 0 0
-3.33516 1.11129 3.51544
0 0 0
10.3727 8.5625 13.4503
0 0 0
0 0 0
0 0 0
0 0 0
-10.2757 2.35266 10.5416
4.93673 4.57347 6.72963
2.3387 -9.32749 9.61622
8.45972 -1.27914 8.55588
0 0 0
-6.7017 -6.15994 9.10262
5.23839 -7.38603 9.05506
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
6.8049 5.11326 8.51188
0 0 0
0 0 0
0 0 0
5.34026 2.96608 6.10868
-8.90326 3.74598 9.65921
9.2945 8.9805 12.9243
5.30962 -6.41671 8.32864
0 0 0
0 0 0
-3.75505 -3.2433 4.96179
0 0 0
-0.141584 3.69679 3.6995
0 0 0
0 0 0
0 0 0
0 0 0
-3.01364 -8.87477 9.37249
0 0 0
-8.63568 -10.5575 13.6395
5.59929 4.01451 6.88973
-8.11217 1.31097 8.21741
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
9.12888 2.59491 9.49052
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-7.29072 4.67779 8.66236
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-5.31261 6.87384 8.68755
0 0 0
0 0 0
0 0 0
0.212681 -2.3176 2.32733
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-2.2905 -10.1347 10.3903
0 0 0
0 0 0
0 0 0
-8.19416 -1.03054 8.2587
0 0 0
0 0 0
3.82616 5.17276 6.43404
-11.2774 0.895214 11.3128
-5.51779 -2.86399 6.21679
0 0 0
3.599 6.94579 7.82284
7.751 5.20224 9.33495
2.04838 4.17636 4.65165
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-4.40727 7.75176 8.91705
0.570098 3.35338 3.40149
0 0 0
0 0 0
3.48092 0.911582 3.5983
1.64563 3.90592 4.23843
5.22599 -7.20442 8.90025
0 0 0
-5.52565 2.5992 6.10644
0 0 0
-0.803201 0.787366 1.12476
0 0 0
0 0 0
0 0 0
-5.32484 -9.35511 10.7644
0 0 0
0 0 0
5.83663 8.52936 10.3352
0 0 0
4.30538 2.52196 4.98965
0 0 0
0 0 0
4.56065 -6.31676 7.79108
0 0 0
0 0 0
-0.647064 1.75892 1.87416
5.38671 -7.036 8.86126
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5.30461 1.30231 5.46214
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5.85013 4.78311 7.5566
1.36437 -9.50096 9.59842
-4.99056 -1.39015 5.18055
7.04428 5.81425 9.13386
0 0 0
5.7178 -6.69739 8.80615
0 0 0
0 0 0
6.46043 1.98237 6.75773
3.22103 3.59493 4.82685
7.62542 -4.7275 8.97197
3.40432 -3.53118 4.90496
0 0 0
0 0 0
9.82026 5.76711 11.3885
0 0 0
0 0 0
5.54872 6.03427 8.1976
0 0 0
-8.40485 4.20918 9.39993
0 0 0
0 0 0
-2.74903 0.933577 2.90323
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
8.05497 8.51182 11.7189
0 0 0
0 0 0
4.25444 0.014755 4.25446
0 0 0
-0.894197 -0.314732 0.947969
0 0 0
2.20625 5.31318 5.75303
7.78864 8.21027 11.3169
0 0 0
-7.20986 4.84106 8.68435
1.97105 1.29167 2.35658
0 0 0
0 0 0
0 0 0
0 0 0
13.7985 1.25114 13.8551
0 0 0
0 0 0
0 0 0
7.55589 8.0868 11.0674
0 0 0
0 0 0
5.11727 0.85568 5.18832
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
10.0454 9.34588 13.7206
0 0 0
0 0 0
0 0 0
-8.1974 -7.22386 10.9262
0 0 0
0 0 0
-8.07503 -2.08394 8.3396
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5.32267 5.80501 7.87584
0 0 0
-3.78125 -2.43949 4.49988
0 0 0
0 0 0
0 0 0
13.1959 7.31224 15.0865
5.9753 3.84902 7.10769
0 0 0
0 0 0
-2.77672 -13.4124 13.6968
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2.35186 5.15026 5.66184
4.36565 4.16078 6.03084
-7.85046 1.49995 7.99247
1.22566 1.66809 2.06997
0 0 0
-3.22483 -1.81878 3.70236
5.00445 1.4695 5.21574
0 0 0
0 0 0
0 0 0
6.82256 4.69954 8.2845
-4.50212 -2.91044 5.36095
-6.23666 -2.33157 6.65824
0 0 0
0 0 0
0 0 0
0 0 0
2.62941 6.9691 7.44863
0 0 0
-4.03802 -8.3443 9.27
0 0 0
0 0 0
0 0 0
3.19825 3.60512 4.8193
0 0 0
0 0 0
0 0 0
7.35116 5.36945 9.10333
0.474701 -11.0732 11.0834
5.39514 0.574218 5.42561
0 0 0
0 0 0
0 0 0
0 0 0
-10.4142 -3.49024 10.9835
0 0 0
0 0 0
1.8216 6.18004 6.44291
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
6.03096 6.40615 8.79836
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
12.2636 7.50882 14.3798
0 0 0
0 0 0
0 0 0
0 0 0
-10.2615 -3.38254 10.8046
-2.48568 8.55979 8.9134
0 0 0
0 0 0
7.95109 8.04584 11.3117
0 0 0
0 0 0
4.64252 4.45985 6.43764
2.74633 1.92314 3.35273
0 0 0
-4.91854 -3.75479 6.18793
0 0 0
3.73201 0.8088 3.81864
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-1.93021 2.35356 3.04384
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-2.62568 -0.153718 2.63017
0 0 0
0 0 0
0 0 0
1.2111 2.46164 2.74344
6.21694 5.26842 8.14902
0 0 0
0 0 0
-0.443243 2.39341 2.43411
4.66043 -1.98116 5.06405
0 0 0
0 0 0
0 0 0
0 0 0
1.6972 -1.66159 2.37516
-0.150727 11.0574 11.0584
4.66118 6.59624 8.07694
0 0 0
0 0 0
0 0 0
0.9004 3.46573 3.58078
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
9.25323 10.2306 13.7945
0 0 0
0 0 0
0 0 0
-9.94212 -5.60234 11.4119
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-2.11005 9.60696 9.83596
0 0 0
0 0 0
0 0 0
0 0 0
-1.5697 -0.783236 1.75426
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2.46822 1.26516 2.77358
0.87232 5.34597 5.41667
0 0 0
2.44762 6.1806 6.64761
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-6.5358 -10.4282 12.307
0 0 0
-8.37899 0.515156 8.39481
-2.83734 -3.21554 4.28838
-0.655898 0.20657 0.687658
0 0 0
2.67924 -1.19588 2.93402
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-4.03866 8.12676 9.07496
0 0 0
-3.84414 0.287624 3.85488
0 0 0
1.434 -2.50477 2.88622
0 0 0
0 0 0
0 0 0
1.93239 1.54813 2.47605
-10.0237 -9.07723 13.5229
0 0 0
-1.34805 -5.21255 5.38404
4.3033 5.41832 6.91929
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-5.55082 -5.9706 8.15228
-1.30599 2.82847 3.11542
1.08058 1.1936 1.61007
3.03861 -0.905855 3.17077
3.42717 3.56504 4.9452
0 0 0
0 0 0
0 0 0
0 0 0
5.2968 3.56997 6.38755
0 0 0
6.1724 7.37535 9.61739
0 0 0
0 0 0
0 0 0
0 0 0
1.99853 -10.6247 10.8111
0 0 0
0 0 0
-1.55726 10.4998 10.6147
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
6.45419 4.64651 7.95278
0 0 0
2.34397 3.62537 4.31711
0 0 0
0 0 0
0 0 0
6.15068 3.04074 6.86126
0 0 0
0 0 0
4.4797 2.13767 4.9636
-7.70885 4.37183 8.86224
0 0 0
0 0 0
0 0 0
0 0 0
0.693597 1.93561 2.05613
2.28258 0.271204 2.29864
0 0 0
0 0 0
0 0 0
