#vx_post  vy_post  v_post
-2.99642 -7.00058 7.6149
2.02831 2.02831 2.86846
-0.64584 -0.64584 0.913356
-1.76148 -1.76148 2.4911
3.41867 3.41867 4.83473
-0.558393 -0.558393 0.789687
-1.9814 0.394287 2.02025
-2.22875 -2.22875 3.15193
-1.79667 -1.79667 2.54088
0.260306 0.260306 0.368128
-6.38723 -6.56191 9.15726
5.64785 5.82253 8.11172
-0.951719 -0.951719 1.34593
-0.225438 -0.225438 0.318818
2.03144 2.03144 2.87289
-1.56999 -8.07625 8.22744
-1.76169 4.74457 5.06108
1.65295 1.65295 2.33762
-1.27205 -1.27205 1.79896
2.16595 2.16595 3.06312
2.18484 2.18484 3.08983
0.594681 -1.781 1.87766
2.5063 2.5063 3.54445
0.916793 0.916793 1.29654
-3.83326 -3.45755 5.16222
1.13305 1.13305 1.60238
0.204385 0.204385 0.289044
-2.7214 -2.7214 3.84865
-1.6695 -1.6695 2.36103
-0.971057 -0.971057 1.37328
-2.05765 -2.05765 2.90996
0.543791 0.543791 0.769037
-2.24769 -2.24769 3.17871
-1.93962 -1.93962 2.74303
0.429865 0.429865 0.607921
1.73698 1.73698 2.45646
-1.80224 -1.80224 2.54875
1.89628 -0.0175873 1.89636
3.00439 3.00439 4.24885
3.41223 3.03652 4.56769
-0.371106 -0.371106 0.524823
-0.208532 0.0737957 0.221205
-2.53122 -2.53122 3.57969
3.82135 3.82135 5.4042
-0.0893049 -0.0893049 0.126296
10.4972 0.735223 10.5229
-4.64079 2.84607 5.444
0.990895 1.32348 1.65332
-0.421352 -0.502909 0.65609
9.98273 1.96789 10.1748
-7.08476 1.82537 7.31613
3.25617 2.44246 4.07041
0.350782 2.26465 2.29165
1.56885 1.56885 2.21869
-2.0553 -2.0553 2.90664
-0.832865 -5.10384 5.17135
2.45174 2.16942 3.27375
0.648648 0.648648 0.917327
-2.54407 -1.70752 3.06397
-2.66438 -0.721902 2.76045
-1.31759 -1.31759 1.86335
-1.81727 -1.81727 2.57001
1.88403 1.88403 2.66442
-0.545312 -0.545312 0.771187
-0.00235808 -0.00235808 0.00333482
0.191299 0.191299 0.270538
-0.242795 -0.242795 0.343364
-0.740025 -0.740025 1.04655
-0.223197 -0.223197 0.315649
2.25101 2.25101 3.18341
0.810982 5.08195 5.14626
0.412049 0.412049 0.582725
0.970081 0.970081 1.3719
-0.811393 -1.64794 1.83687
0.425337 0.425337 0.601517
0.192921 0.192921 0.272831
-0.360154 -0.360154 0.509335
-2.72555 -2.72555 3.85451
-1.04289 -1.04289 1.47487
-0.612141 -0.612141 0.865699
0.898114 0.898114 1.27013
1.64791 1.64791 2.33049
-0.767639 8.01416 8.05084
-1.69046 -1.69046 2.39067
0.950258 0.950258 1.34387
0.0453977 0.0453977 0.0642021
2.03704 2.03704 2.8808
2.56708 2.56708 3.6304
1.27019 1.27019 1.79633
-1.56085 -1.56085 2.20737
-0.333377 -0.333377 0.471467
2.00062 2.00062 2.82931
-3.78446 -2.30113 4.42915
-1.08482 -1.08482 1.53416
0.799102 0.799102 1.1301
0.838837 0.838837 1.1863
-1.47679 -1.47679 2.08849
2.54753 -6.23426 6.73468
1.41518 1.41518 2.00137
1.72483 1.72483 2.43927
-0.79694 -0.931699 1.22604
1.98582 0.165788 1.99273
-2.09592 -0.27589 2.114
-0.877875 -0.877875 1.2415
1.57335 1.57335 2.22505
-4.76734 -6.13915 7.77281
-0.914546 0.457263 1.02249
-0.264892 -1.74823 1.76819
-0.0815036 -0.0815036 0.115263
-1.77673 -1.77673 2.51268
3.59591 3.59591 5.08539
-0.468225 -0.468225 0.662171
-0.118083 -0.118083 0.166994
-0.142547 -0.142547 0.201591
-1.98611 -1.98611 2.80879
4.22702 4.36178 6.07395
0.296443 0.296443 0.419234
-1.9572 5.40992 5.75308
0.650972 0.650972 0.920613
-0.939704 -0.939704 1.32894
13.7488 8.98313 16.4234
-1.66007 -1.66007 2.3477
0.411125 0.411125 0.581419
0.068055 0.068055 0.0962443
0.089914 0.089914 0.127158
-0.681224 -0.681224 0.963396
-2.16756 -2.16756 3.0654
1.44973 1.44973 2.05023
-2.20249 -2.27983 3.16995
-0.0989198 -0.0989198 0.139894
-1.09335 -1.34433 1.73281
-0.766281 -0.766281 1.08368
2.82115 -4.54597 5.35021
1.92581 1.92581 2.7235
0.93281 0.93281 1.31919
2.11889 2.11889 2.99657
1.50274 1.50274 2.1252
-3.70366 -3.70366 5.23777
1.81955 1.81955 2.57323
-4.41495 -1.3908 4.62883
6.16265 3.1385 6.91582
-5.19241 -2.77231 5.88615
0.29616 0.29616 0.418833
2.04496 2.1223 2.9472
-0.733293 -0.733293 1.03703
-2.76577 7.90284 8.37283
0.891038 0.891038 1.26012
6.85091 2.62132 7.33527
-2.04873 -2.04873 2.89734
0.209893 6.86917 6.87238
0.810292 0.810292 1.14593
-1.79016 -1.79016 2.53167
0.668347 0.668347 0.945186
-2.92197 -2.92197 4.1323
0.943172 0.943172 1.33385
-1.01927 -1.01927 1.44147
8.1844 5.7643 10.0106
0.939195 0.939195 1.32822
-4.946 -4.946 6.99469
1.13928 1.13928 1.61119
8.28776 1.67631 8.45559
4.76759 4.76759 6.74239
0.405741 0.336768 0.527294
-3.64509 -3.64509 5.15493
-0.543916 -7.20319 7.2237
-0.219758 -0.219758 0.310785
0.52331 0.52331 0.740072
-1.35634 -1.35634 1.91816
1.1304 1.1304 1.59863
2.37798 2.37798 3.36297
-0.390432 -0.390432 0.552154
7.64998 -1.01774 7.71738
-6.77293 1.89479 7.03298
1.40165 1.40165 1.98223
-1.44039 -1.44039 2.03701
-0.103664 -3.90984 3.91121
2.1526 2.1526 3.04423
-1.91554 -1.91554 2.70898
-1.89298 -1.89298 2.67708
-1.23859 -1.23859 1.75163
1.4107 1.4107 1.99503
0.772262 9.65774 9.68857
0.483716 -6.26032 6.27898
0.410149 7.15418 7.16593
3.17656 3.17656 4.49233
-3.3093 -3.3093 4.68006
0.516755 0.516755 0.730803
-1.79237 -6.93614 7.16398
-0.080318 5.06345 5.06409
-5.42864 -5.42864 7.67726
-2.63236 -2.72745 3.79055
-0.0467009 0.0483885 0.0672489
5.21177 5.21177 7.37056
4.38462 4.38462 6.20078
0.113105 0.113105 0.159955
1.118 1.118 1.58109
0.698791 -8.18669 8.21646
-1.64975 -1.64975 2.33309
0.430776 0.430776 0.609209
2.30789 2.30789 3.26384
1.39526 1.39526 1.9732
5.31536 5.31536 7.51705
-2.00461 -2.00461 2.83495
0.896461 0.896461 1.26779
1.54394 3.07694 3.44258
1.75576 3.62419 4.02709
-0.17732 0.705609 0.727549
0.765808 0.765808 1.08302
0.766145 0.766145 1.08349
2.81046 2.81046 3.9746
-0.458849 -0.458849 0.64891
2.40757 2.40757 3.40482
-2.04805 -2.04805 2.89638
0.384559 0.384559 0.543849
-0.784306 -0.784306 1.10918
2.63602 1.35845 2.96547
-0.185237 1.89498 1.90401
-0.97029 2.83822 2.99949
-0.55735 -0.55735 0.788212
-1.93667 -3.46967 3.97357
-1.64612 -1.64612 2.32796
-4.94074 -5.82366 7.63714
-5.93281 -5.93281 8.39025
-0.412418 -0.412418 0.583247
4.30358 4.75085 6.41025
1.32415 1.32415 1.87263
0.380078 0.380078 0.537511
-3.191 -3.191 4.51275
2.04584 2.04584 2.89326
-0.324201 -0.324201 0.45849
-2.62203 -5.10217 5.73647
1.00109 1.00109 1.41576
2.04398 2.04398 2.89062
0.147166 0.147166 0.208124
-1.32858 -1.32858 1.87889
-5.0791 -6.22185 8.03173
1.67104 -5.46271 5.71258
3.03051 1.87148 3.5618
