#vx_post  vy_post  v_post
-4.10758 2.95479 5.05994
2.93648 0.433687 2.96833
5.31175 -2.98487 6.09296
2.95476 -1.40256 3.27075
-2.95476 1.40256 3.27075
-1.3561 -5.92498 6.07819
-1.37354 -1.34148 1.91995
6.88822 8.44562 10.8984
0 0 0
-7.48454 2.01167 7.75017
1.49606 -1.51121 2.12649
-1.49606 1.51121 2.12649
0.155201 -0.169988 0.230182
-1.32926 1.45591 1.97145
4.10758 -2.95479 5.05994
1.23242 4.50662 4.67209
-1.07632 -1.33499 1.71483
1.07406 1.26327 1.65815
0.00225485 0.0717126 0.0717481
-11.4573 -3.94113 12.1162
-2.7091 0.681058 2.79339
1.89289 0.719772 2.02512
-3.24834 -5.33826 6.2489
0 0 0
-4.14888 -3.6922 5.55388
0 0 0
0 0 0
1.17406 -1.28592 1.74127
0 0 0
0 0 0
0 0 0
-0.165118 -0.629302 0.650603
0 0 0
-1.92748 -5.18577 5.53239
4.61264 -4.07338 6.15377
-1.02971 4.50924 4.62531
0.273825 -0.964368 1.00249
7.60439 10.3931 12.878
-1.46959 -1.6971 2.24496
-4.19534 -5.86817 7.21361
4.93287 -0.752588 4.98995
-4.93287 0.752588 4.98995
-4.21199 -4.5539 6.20313
0.922248 0.99711 1.35822
2.37813 4.47281 5.06572
-1.1094 -1.6325 1.97378
0.165118 0.629302 0.650603
-3.07024 1.59225 3.45856
0.475003 8.09683 8.11075
5.00339 10.5197 11.6489
-8.44948 1.8768 8.65541
-0.0443666 0.0161046 0.0471991
0 0 0
0 0 0
-12.574 -2.82726 12.888
0 0 0
0 0 0
3.28975 3.55679 4.84491
0 0 0
8.82939 4.48025 9.90104
1.1094 1.6325 1.97378
0 0 0
0 0 0
0 0 0
-2.20408 -1.13954 2.48123
4.42877 5.54941 7.09999
0 0 0
0 0 0
3.59817 9.8474 10.4842
0 0 0
-0.939642 -0.837157 1.25847
9.15559 1.63149 9.29982
0.701017 0.624559 0.938881
-4.24978 6.40509 7.68673
0 0 0
6.8014 4.19573 7.99144
-10.7546 -5.05182 11.882
0 0 0
0 0 0
0 0 0
0 0 0
-1.67052 -6.19226 6.41364
-4.48528 0.655547 4.53293
-0.430941 0.498298 0.658795
5.06337 9.14363 10.452
6.97682 -1.3123 7.09917
2.46659 1.07786 2.69182
0 0 0
10.2731 3.95309 11.0074
-4.58945 -10.1985 11.1836
-3.64391 -2.82882 4.61306
3.64391 2.82882 4.61306
0 0 0
-2.68952 2.68976 3.80372
-6.51617 -2.16815 6.86741
6.51617 2.16815 6.86741
0.649442 4.77767 4.82161
-0.0136068 -0.210367 0.210807
0.444548 -0.287931 0.529648
5.48203 -3.93671 6.7491
-5.48203 3.93671 6.7491
0 0 0
-0.968375 3.25786 3.39874
-12.2355 -5.38439 13.3679
0 0 0
3.71692 0.549979 3.75739
0 0 0
0 0 0
-3.21586 -6.55339 7.29991
0 0 0
0 0 0
1.02108 1.41459 1.74461
-2.01309 8.06712 8.31451
0 0 0
0 0 0
0 0 0
2.86961 2.02188 3.51036
-3.68737 -2.54804 4.4821
0 0 0
-11.4737 -16.3074 19.9393
-8.91093 0.812381 8.94789
0.473792 -1.0655 1.16609
0 0 0
3.40438 -0.39229 3.42691
0 0 0
-6.57568 -3.91022 7.65045
-3.3777 -0.798559 3.47082
3.3777 0.798559 3.47082
-1.68679 5.66301 5.90889
-2.31151 -2.25606 3.23
2.31151 2.25606 3.23
-0.636492 -0.657524 0.915128
0 0 0
2.78268 2.88819 4.0106
9.3251 -0.197252 9.32719
-3.25255 6.65956 7.4114
3.90407 -1.70751 4.26115
-6.48271 -0.721432 6.52273
9.38382 -1.62379 9.52328
-0.493779 -0.342129 0.600724
-1.53119 8.41045 8.54869
-0.364374 0.194774 0.413166
0 0 0
-1.83157 1.57192 2.41363
-1.20379 -3.05017 3.27913
-15.9204 -2.5779 16.1278
-1.12118 3.13738 3.33169
5.61379 -5.86924 8.12174
1.59934 -1.84872 2.44451
0 0 0
0.00674715 0.5148 0.514844
0 0 0
0 0 0
-0.0959719 -0.334366 0.347866
0.493779 0.342129 0.600724
-6.13073 14.2088 15.475
6.43371 -4.37836 7.7822
-6.06933 4.18359 7.37151
1.83157 -1.57192 2.41363
-0.0352533 2.83999 2.84021
5.31014 -2.9276 6.0637
-11.1597 -7.30664 13.3389
0 0 0
-8.04754 -10.9281 13.5715
0 0 0
0.390792 -16.3088 16.3135
-1.48829 -3.64083 3.93327
-1.97539 0.881468 2.16313
2.90233 -1.44874 3.24382
0 0 0
10.2708 -8.80319 13.5272
0 0 0
-6.89095 -0.876761 6.94651
6.89095 0.876761 6.94651
0.847989 -4.76344 4.83833
0 0 0
3.138 3.33075 4.57612
0 0 0
-4.96865 0.953274 5.05927
0 0 0
0.0519296 -0.114783 0.125983
-3.20087 5.79245 6.618
0 0 0
0 0 0
0 0 0
0 0 0
5.80429 6.5314 8.73779
0 0 0
7.76609 -0.815057 7.80874
-3.43908 -9.36795 9.97927
-1.35257 7.12329 7.25056
3.89275 -5.13106 6.44059
0 0 0
-14.4003 -4.37929 15.0515
0 0 0
-9.86983 2.19112 10.1101
3.20087 -5.79245 6.618
0 0 0
