#vx_post  vy_post  v_post
14.1184 -4.86334 14.9326
0 0 0
0 0 0
0 0 0
14.0697 -5.00903 14.9348
0 0 0
-4.87132 1.34792 5.05437
0 0 0
0 0 0
-2.85713 4.54615 5.36942
0 0 0
0 0 0
-3.24959 4.09115 5.22469
0 0 0
0 0 0
0 0 0
13.6297 -6.23218 14.987
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
12.5921 -8.10423 14.9746
0 0 0
0 0 0
0 0 0
-4.71212 1.73593 5.0217
0 0 0
0 0 0
14.2091 -4.4011 14.8751
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-4.35177 2.46391 5.00088
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-3.52128 3.73629 5.13413
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
14.1702 -4.47992 14.8615
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
13.4372 -6.62449 14.9814
0 0 0
0 0 0
-2.7544 4.545 5.31449
0 0 0
-2.87205 4.41698 5.26862
0 0 0
11.6278 -9.36348 14.9291
0 0 0
-3.30246 3.944 5.14406
0 0 0
0 0 0
0 0 0
0 0 0
11.4273 -9.57279 14.9071
0 0 0
0 0 0
0 0 0
-2.87806 4.42833 5.28141
0 0 0
0 0 0
0 0 0
-4.16298 2.77473 5.00295
0 0 0
0 0 0
0 0 0
-3.01703 4.25667 5.21744
0 0 0
0 0 0
-4.49755 2.2089 5.01071
0 0 0
0 0 0
0 0 0
0 0 0
-4.57969 2.05578 5.01994
0 0 0
0 0 0
0 0 0
0 0 0
13.4862 -6.48517 14.9645
0 0 0
0 0 0
0 0 0
-3.80008 3.30098 5.0336
0 0 0
-4.71465 1.79545 5.04496
0 0 0
0 0 0
0 0 0
-3.30355 3.92589 5.13089
0 0 0
0 0 0
-4.62255 1.97712 5.02762
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
11.225 -9.78609 14.8919
0 0 0
0 0 0
-4.8203 1.55136 5.06379
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-3.10783 4.18692 5.2143
0 0 0
13.4453 -6.6097 14.9821
0 0 0
0 0 0
0 0 0
0 0 0
12.7662 -7.87322 14.9988
0 0 0
0 0 0
-4.36549 2.43918 5.00071
0 0 0
0 0 0
0 0 0
13.3691 -6.76765 14.9844
0 0 0
-2.66123 4.62866 5.33916
0 0 0
0 0 0
0 0 0
0 0 0
-4.08547 2.89041 5.00455
0 0 0
-5.07687 0.976079 5.16985
0 0 0
0 0 0
-4.34035 2.48484 5.00131
0 0 0
0 0 0
0 0 0
-2.63945 4.61914 5.32007
0 0 0
0 0 0
0 0 0
-4.69468 1.85007 5.04607
0 0 0
0 0 0
0 0 0
11.7704 -9.23729 14.9623
0 0 0
12.4608 -8.34505 14.9971
0 0 0
0 0 0
0 0 0
13.4129 -6.62885 14.9615
0 0 0
0 0 0
12.2414 -8.65337 14.9911
0 0 0
0 0 0
12.1942 -8.71421 14.9879
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-3.98227 3.04172 5.01104
0 0 0
12.3999 -8.43095 14.9946
0 0 0
0 0 0
