,particle,x,y,time step
0,1,4.80101,5.0201,1
1,2,4.83522,4.88665,1
2,3,4.8028,5.03334,1
3,4,5.066,5.18879,1
4,5,5.19999,5.00187,1
5,6,4.80002,5.00315,1
6,7,5.14579,5.13692,1
7,8,5.19276,4.94666,1
8,9,5.19997,4.99654,1
9,10,4.83045,4.89392,1
10,11,5.04564,5.19472,1
11,12,4.90495,4.82403,1
12,13,5.14246,5.14038,1
13,14,4.81288,4.92938,1
14,15,5.18684,5.07135,1
15,16,4.82918,5.10402,1
16,17,5.10912,5.16761,1
17,18,4.85846,5.14131,1
18,19,5.19896,4.9796,1
19,20,5.19479,4.95463,1
20,21,5.19694,4.96517,1
21,22,4.81239,4.9307,1
22,23,4.91221,4.8203,1
23,24,4.84566,5.12719,1
24,25,5.03138,4.80248,1
25,26,5.193,4.94754,1
26,27,4.81332,4.92823,1
27,28,4.80862,5.05809,1
28,29,5.18353,4.92053,1
29,30,4.86857,5.15075,1
30,31,4.87333,4.84523,1
31,32,4.9845,5.1994,1
32,33,4.91418,5.18065,1
33,34,5.19679,4.96432,1
34,35,5.06066,5.19058,1
35,36,5.10229,5.17186,1
36,37,5.18379,4.92112,1
37,38,4.80029,4.98924,1
38,39,4.97462,4.80162,1
39,40,4.86133,4.85588,1
40,41,5.15592,4.87474,1
41,42,4.86809,4.84967,1
42,43,5.01244,5.19961,1
43,44,5.1946,5.04615,1
44,45,4.98033,4.80097,1
45,46,4.80436,5.04152,1
46,47,5.17212,5.10185,1
47,48,4.80192,4.97235,1
48,49,5.13044,5.15161,1
49,50,5.13231,4.85002,1
50,51,5.18648,5.07229,1
51,52,4.95717,5.19536,1
52,53,4.86651,4.85107,1
53,54,5.18908,5.06518,1
54,55,5.15582,4.87462,1
55,56,4.94988,4.80638,1
56,57,5.14297,5.13985,1
57,58,4.8709,4.84725,1
58,59,5.04942,5.1938,1
59,60,5.03752,4.80355,1
60,61,5.19011,5.06212,1
61,62,4.80807,4.94376,1
62,63,5.19468,4.95416,1
63,64,4.80001,5.00241,1
64,65,5.18984,4.93707,1
65,66,4.87912,5.15934,1
66,67,4.95048,4.80623,1
67,68,5.10213,4.82804,1
68,69,4.8831,5.16228,1
69,70,4.81362,5.07254,1
70,71,5.02421,4.80147,1
71,72,4.8686,4.84922,1
72,73,5.06782,4.81185,1
73,74,5.1799,5.08739,1
74,75,5.15508,5.12629,1
75,76,4.81274,4.92976,1
76,77,5.07627,4.81511,1
77,78,4.82658,4.90038,1
78,79,5.02892,4.8021,1
79,80,4.90953,5.17837,1
80,81,5.06483,5.1892,1
81,82,4.96148,5.19626,1
