spot ID,Track ID,x (micron),y (micron),T (sec),Frame,,Speed,,,55 TRACKS EN TOTAL,,,FILA VIOLETA DENOTA EL INICIO DEL TRACK ,,,,,MAX VELOCIDAD ES DE 0.63MICRONES/SEC
3148,8,38.617,15.689,0.000,0,,,,8,,,,,,,,,
3190,8,38.411,15.683,3.335,1,,0.06186024812,,9,,,,,,,,,
3231,8,38.459,15.650,6.669,2,,0.01733809066,,36,,,,,,,,,
3277,8,38.677,15.661,10.004,3,,0.06553705389,,1175,,,,,,,,,
3323,8,38.317,15.681,13.338,4,,0.1081213418,,44,,,,,,,,,
3368,8,38.285,15.683,16.673,5,,0.009751083029,,45,,,,,,,,,
3410,8,38.259,15.691,20.007,6,,0.008235667336,,47,,,,,,,,,
3464,8,38.064,15.693,23.342,7,,0.05829614228,,49,,,,,,,,,
3508,8,38.004,15.660,26.677,8,,0.02056517948,,52,,,,,,,,,
3558,8,37.855,15.614,30.011,9,,0.04669713671,,68,,,,,,,,,
3604,8,37.689,15.604,33.346,10,,0.04986017805,,96,,,,,,,,,
3652,8,37.845,15.596,36.680,11,,0.04671232644,,134,,,,,,,,,
3706,8,37.749,15.554,40.015,12,,0.03163299656,,150,,,,,,,,,
3757,8,37.951,15.573,43.349,13,,0.06102745304,,169,,,,,,,,,
3807,8,38.199,15.601,46.684,14,,0.07494861331,,212,,,,,,,,,
3858,8,37.723,15.589,50.018,15,,0.1429468618,,282,,,,,,,,,
3906,8,37.475,15.567,53.353,16,,0.07464262356,,293,,,,,,,,,
3957,8,37.081,15.506,56.688,17,,0.1196714612,,331,,,,,,,,,
4004,8,37.156,15.495,60.022,18,,0.02273616886,,335,,,,,,,,,
4055,8,36.992,15.478,63.357,19,,0.04941361393,,388,,,,,,,,,
4110,8,36.515,15.484,66.691,20,,0.1429018566,,1225,,,,,,,,,
4160,8,36.448,15.478,70.026,21,,0.02011462309,,577,,,,,,,,,
4206,8,36.491,15.469,73.360,22,,0.01298030425,,589,,,,,,,,,
4259,8,36.372,15.415,76.695,23,,0.03920507298,,720,,,,,,,,,
4309,8,36.249,15.395,80.030,24,,0.03716714295,,760,,,,,,,,,
4360,8,36.018,15.369,83.364,25,,0.06979800719,,770,,,,,,,,,
4407,8,35.925,15.337,86.699,26,,0.02964005889,,1210,,,,,,,,,
4455,8,35.786,15.269,90.033,27,,0.04629175657,,790,,,,,,,,,
4506,8,35.791,15.253,93.368,28,,0.005221804541,,800,,,,,,,,,
4554,8,35.791,15.251,96.702,29,,0.0006333083738,,817,,,,,,,,,
4608,8,35.709,15.311,100.037,30,,0.03045013833,,863,,,,,,,,,
4663,8,35.635,15.292,103.371,31,,0.02295161034,,864,,,,,,,,,
4715,8,35.260,15.246,106.706,32,,0.113505379,,946,,,,,,,,,
4772,8,35.232,15.246,110.041,33,,0.008171815727,,978,,,,,,,,,
4826,8,34.926,15.241,113.375,34,,0.09173885995,,991,,,,,,,,,
4879,8,34.492,15.176,116.710,35,,0.1317470515,,1021,,,,,,,,,
4929,8,34.369,15.027,120.044,36,,0.0580497899,,1076,,,,,,,,,
4985,8,34.397,14.905,123.379,37,,0.03747014299,,1077,,,,,,,,,
5040,8,34.105,14.802,126.713,38,,0.09286017696,,1091,,,,,,,,,
5095,8,34.067,14.803,130.048,39,,0.01114687299,,1095,,,,,,,,,
5155,8,33.978,14.816,133.383,40,,0.02717808234,,1107,,,,,,,,,
5215,8,34.037,14.717,136.717,41,,0.03467266758,,1135,,,,,,,,,
5273,8,33.594,14.517,140.052,42,,0.1457476912,,1165,,,,,,,,,
5329,8,33.332,14.488,143.386,43,,0.07924208214,,1167,,,,,,,,,
5389,8,33.092,14.373,146.721,44,,0.07991059693,,1169,,,,,,,,,
5447,8,32.900,14.343,150.055,45,,0.05818671848,,1229,,,,,,,,,
5505,8,32.461,14.178,153.390,46,,0.1406301366,,1170,,,,,,,,,
5569,8,32.396,14.185,156.724,47,,0.01970901862,,1171,,,,,,,,,
5629,8,32.367,14.171,160.059,48,,0.009685673114,,1172,,,,,,,,,
5688,8,32.347,14.194,163.394,49,,0.009118017316,,1173,,,,,,,,,
5750,8,32.243,14.127,166.728,50,,0.03704922858,,1182,,,,,,,,,
5809,8,32.369,14.174,170.063,51,,0.04013236456,,1188,,,,,,,,,
5870,8,32.380,14.112,173.397,52,,0.01900981555,,1195,,,,,,,,,
5926,8,32.415,14.117,176.732,53,,0.01058109816,,1198,,,,,,,,,
5983,8,32.418,14.150,180.066,54,,0.01008566268,,1202,,,,,,,,,
6046,8,32.440,14.174,183.401,55,,0.009614156033,,1208,,,,,,,,,
6105,8,32.374,14.106,186.736,56,,0.02841408017,,1216,,,,,,,,,
6162,8,32.203,13.974,190.070,57,,0.06479724087,,1223,,,,,,,,,
6222,8,31.840,13.632,193.405,58,,0.1495309366,,1228,,,,,,,,,
6277,8,31.848,13.459,196.739,59,,0.05190905093,,,,,,,,,,,
6338,8,31.719,13.339,200.074,60,,0.05292215891,,,,,,,,,,,
6399,8,31.725,13.341,203.408,61,,0.001857631189,,,,,,,,,,,
6463,8,31.618,13.207,206.743,62,,0.05131288175,,,,,,,,,,,
6520,8,31.447,13.087,210.077,63,,0.06276615537,,,,,,,,,,,
6583,8,31.218,12.985,213.412,64,,0.07528437437,,,,,,,,,,,
6647,8,31.052,13.044,216.747,65,,0.05270288465,,,,,,,,,,,
6713,8,30.995,13.106,220.081,66,,0.02530145709,,,,,,,,,,,
6782,8,31.161,13.202,223.416,67,,0.05765965994,,,,,,,,,,,
6851,8,31.282,13.217,226.750,68,,0.03636661237,,,,,,,,,,,
6916,8,31.549,13.383,230.085,69,,0.09435490694,,,,,,,,,,,
6977,8,31.717,13.461,233.419,70,,0.05556678405,,,,,,,,,,,
7035,8,32.073,13.777,236.754,71,,0.1429362236,,,,,,,,,,,
7099,8,32.642,14.322,240.089,72,,0.2361015325,,,,,,,,,,,
7159,8,32.941,14.591,243.423,73,,0.120689433,,,,,,,,,,,
7222,8,32.937,14.732,246.758,74,,0.04214930336,,,,,,,,,,,
7289,8,33.286,15.078,250.092,75,,0.1474345677,,,,,,,,,,,
7352,8,33.218,15.267,253.427,76,,0.06025685281,,,,,,,,,,,
7414,8,33.304,15.448,256.761,77,,0.05999728417,,,,,,,,,,,
7476,8,33.386,15.622,260.096,78,,0.05770809217,,,,,,,,,,,
7538,8,33.391,15.778,263.430,79,,0.04664026567,,,,,,,,,,,
7602,8,33.470,15.778,266.765,80,,0.02378669973,,,,,,,,,,,
7662,8,33.454,15.763,270.100,81,,0.00667070022,,,,,,,,,,,
7724,8,33.464,15.740,273.434,82,,0.007676015592,,,,,,,,,,,
7782,8,33.425,15.692,276.769,83,,0.01863508409,,,,,,,,,,,
7842,8,33.419,15.832,280.103,84,,0.0422514768,,,,,,,,,,,
7901,8,33.405,15.852,283.438,85,,0.00739700663,,,,,,,,,,,
7963,8,33.743,16.292,286.772,86,,0.1663564984,,,,,,,,,,,
8026,8,34.284,17.213,290.107,87,,0.3202375275,,,,,,,,,,,
8083,8,34.617,17.900,293.442,88,,0.2291376211,,,,,,,,,,,
8146,8,34.799,18.300,296.776,89,,0.1316908179,,,,,,,,,,,
18934,8,34.900,18.901,300.111,90,,0.1826644865,,,,,,,,,,,
18938,8,35.037,19.038,303.445,91,,0.05824412095,,,,,,,,,,,
18940,8,35.243,19.313,306.780,92,,0.1029620322,,,,,,,,,,,
18942,8,35.655,19.656,310.114,93,,0.1608318357,,,,,,,,,,,
18944,8,36.411,20.411,313.449,94,,0.3203426652,,,,,,,,,,,
18946,8,37.166,20.755,316.783,95,,0.2488189938,,,,,,,,,,,
8575,8,38.062,21.398,320.118,96,,0.3307715886,,,,,,,,,,,
8640,8,38.389,21.641,323.453,97,,0.1221002084,,,,,,,,,,,
8698,8,38.756,21.955,326.787,98,,0.145152803,,,,,,,,,,,
18968,8,39.363,22.403,330.122,99,,0.2260524934,,,,,,,,,,,
8821,8,39.707,22.548,333.456,100,,0.1119965383,,,,,,,,,,,
