Track ID,x (micron),y (micron),T (sec),Frame,principal angle
8,38.617,15.689,0.0,0.0,0.0
8,38.411,15.683,3.335,1.0,-3.1124746720827527
8,38.459,15.65,6.669,2.0,-2.899594607567658
8,38.677,15.661,10.004,3.0,-0.4366271598135332
8,38.317,15.681,13.338,4.0,-3.1149323052151923
8,38.285,15.683,16.673,5.0,-3.123522331563568
8,38.259,15.691,20.007,6.0,3.1360061195291355
8,38.064,15.693,23.342,7.0,3.134359506678635
8,38.004,15.66,26.677,8.0,-3.0943195797556746
8,37.855,15.614,30.011,9.0,-3.043483454025523
8,37.689,15.604,33.346,10.0,-3.050252692657304
8,37.845,15.596,36.68,11.0,-3.021704051420165
8,37.749,15.554,40.015,12.0,-2.987298874539059
8,37.951,15.573,43.349,13.0,-2.9691483857710517
8,38.199,15.601,46.684,14.0,-2.934096427154592
8,37.723,15.589,50.018,15.0,-3.030198874729307
8,37.475,15.567,53.353,16.0,-3.035166176404182
8,37.081,15.506,56.688,17.0,-3.0230109891726156
8,37.156,15.495,60.022,18.0,-3.009579165450498
8,36.992,15.478,63.357,19.0,-3.0124689418796566
8,36.515,15.484,66.691,20.0,-3.0443739373041456
8,36.448,15.478,70.026,21.0,-3.044617935497671
8,36.491,15.469,73.36,22.0,-3.0384789495508473
8,36.372,15.415,76.695,23.0,-3.020144308749135
8,36.249,15.395,80.03,24.0,-3.0180693461368517
8,36.018,15.369,83.364,25.0,-3.0190849475821473
8,35.925,15.337,86.699,26.0,-3.011572514970889
8,35.786,15.269,90.033,27.0,-2.994309477230587
8,35.791,15.253,93.368,28.0,-2.988517906448589
8,35.791,15.251,96.702,29.0,-2.98782672013937
8,35.709,15.311,100.037,30.0,-3.0123311761247664
8,35.635,15.292,103.371,31.0,-3.009238819208125
8,35.26,15.246,106.706,32.0,-3.0103876984148537
8,35.232,15.246,110.041,33.0,-3.011460736787608
8,34.926,15.241,113.375,34.0,-3.020807166167298
8,34.492,15.176,116.71,35.0,-3.017864281465716
8,34.369,15.027,120.044,36.0,-2.9869980775950773
8,34.397,14.905,123.379,37.0,-2.9579048806811628
8,34.105,14.802,126.713,38.0,-2.947481084152129
8,34.067,14.803,130.048,39.0,-2.9492740513037266
8,33.978,14.816,133.383,40.0,-2.955581012789318
8,34.037,14.717,136.717,41.0,-2.9324684090566806
8,33.594,14.517,140.052,42.0,-2.912367013816643
8,33.332,14.488,143.386,43.0,-2.918140587309102
8,33.092,14.373,146.721,44.0,-2.907759753704779
8,32.9,14.343,150.055,45.0,-2.9103654982350915
8,32.461,14.178,153.39,46.0,-2.9008994052087003
8,32.396,14.185,156.724,47.0,-2.904382516916867
8,32.367,14.171,160.059,48.0,-2.903326311403937
8,32.347,14.194,163.394,49.0,-2.907526069088486
8,32.243,14.127,166.728,50.0,-2.901270620267875
8,32.369,14.174,170.063,51.0,-2.90370633768325
8,32.38,14.112,173.397,52.0,-2.893937276780249
8,32.415,14.117,176.732,53.0,-2.893353956522991
8,32.418,14.15,180.066,54.0,-2.898246797061999
8,32.44,14.174,183.401,55.0,-2.9010756929239063
8,32.374,14.106,186.736,56.0,-2.893262468460933
8,32.203,13.974,190.07,57.0,-2.8803208139944623
8,31.84,13.632,193.405,58.0,-2.846903563529459
8,31.848,13.459,196.739,59.0,-2.823347431599093
8,31.719,13.339,200.074,60.0,-2.8132461177819192
8,31.725,13.341,203.408,61.0,-2.813240388291084
8,31.618,13.207,206.743,62.0,-2.800806109341451
8,31.447,13.087,210.077,63.0,-2.7934713060447796
8,31.218,12.985,213.412,64.0,-2.7912165323561116
8,31.052,13.044,216.747,65.0,-2.8052417160631893
8,30.995,13.106,220.081,66.0,-2.8148517677163163
8,31.161,13.202,223.416,67.0,-2.8196409324286145
8,31.282,13.217,226.75,68.0,-2.816532882200667
8,31.549,13.383,230.085,69.0,-2.8262222763374067
8,31.717,13.461,233.419,70.0,-2.8292626160389416
8,32.073,13.777,236.754,71.0,-2.8573291710294058
8,32.642,14.322,240.089,72.0,-2.91667699642261
8,32.941,14.591,243.423,73.0,-2.950506800355856
8,32.937,14.732,246.758,74.0,-2.9746744201262505
8,33.286,15.078,250.092,75.0,-3.0274779446496276
8,33.218,15.267,253.427,76.0,-3.0635886253973377
8,33.304,15.448,256.761,77.0,-3.0962632893198694
8,33.386,15.622,260.096,78.0,-3.12878509546628
8,33.391,15.778,263.43,79.0,3.1245640662748846
8,33.47,15.778,266.765,80.0,3.124302750491349
8,33.454,15.763,270.1,81.0,3.127260882641563
8,33.464,15.74,273.434,82.0,3.13169582943145
8,33.425,15.692,276.769,83.0,3.141014841635607
8,33.419,15.832,280.103,84.0,3.1140890097438447
8,33.405,15.852,283.438,85.0,3.1103288604597443
8,33.743,16.292,286.772,86.0,3.0185004440770733
8,34.284,17.213,290.107,87.0,2.803386929595987
8,34.617,17.9,293.442,88.0,2.636640570298157
8,34.799,18.3,296.776,89.0,2.5417772150346436
8,34.9,18.901,300.111,90.0,2.428947944678575
8,35.037,19.038,303.445,91.0,2.389520291429528
8,35.243,19.313,306.78,92.0,2.3204851835213596
8,35.655,19.656,310.114,93.0,2.2121563707496423
8,36.411,20.411,313.449,94.0,2.007840771450686
8,37.166,20.755,316.783,95.0,1.8497476382987372
8,38.062,21.398,320.118,96.0,1.6677067245063306
8,38.389,21.641,323.453,97.0,1.6090840581258776
8,38.756,21.955,326.787,98.0,1.5486167534889719
8,39.363,22.403,330.122,99.0,1.4601391056210007
8,39.707,22.548,333.456,100.0,1.4131988740925248
8,40.119,23.089,336.791,101.0,1.370543780276457
8,40.668,23.158,340.125,102.0,1.3028004620367966
8,41.08,23.227,343.46,103.0,1.2549874020435623
8,42.041,23.501,346.795,104.0,1.157714564138315
8,42.837,23.705,350.129,105.0,1.0862155721094053
8,43.758,23.776,353.464,106.0,1.0045313172032142
8,44.925,23.295,356.798,107.0,0.8784162923134172
8,45.654,23.257,360.133,108.0,0.8217395681165844
8,46.443,23.143,363.467,109.0,0.7610574218655467
8,47.406,22.921,366.802,110.0,0.6885174641446229
8,48.267,22.62,370.136,111.0,0.6228618766937614
8,48.977,22.403,373.471,112.0,0.5750169041100512
8,49.492,22.197,376.806,113.0,0.5392692822363082
8,49.904,21.991,380.14,114.0,0.5092248339024742
8,49.904,21.991,383.475,115.0,0.5092248339024742
8,49.749,21.888,386.809,116.0,0.5080971090625693
8,49.749,21.888,390.144,117.0,0.5080971090625693
8,49.698,21.836,393.478,118.0,0.5064699785982317
8,49.627,21.714,396.813,119.0,0.5007138834888896
8,49.595,22.059,400.148,120.0,0.525771899270259
8,49.595,22.059,403.482,121.0,0.525771899270259
8,49.801,21.51,406.817,122.0,0.4798936519743197
8,49.952,21.17,410.151,123.0,0.45039841095754035
8,50.214,20.756,413.486,124.0,0.41192632474133817
8,50.352,20.286,416.82,125.0,0.37336037902167724
8,50.419,19.587,420.155,126.0,0.3190027493848292
8,50.191,19.144,423.489,127.0,0.29009285257754064
8,50.444,18.718,426.824,128.0,0.25071990365905367
8,50.469,18.63,430.159,129.0,0.24323086455305876
8,50.417,18.486,433.493,130.0,0.232738539993688
8,50.4,18.511,436.828,131.0,0.2350698710480019
8,50.58,18.324,440.162,132.0,0.21680064979294722
8,50.659,18.206,443.497,133.0,0.20605190300657777
8,50.47,18.128,446.831,134.0,0.20293809352596914
8,50.365,18.27,450.166,135.0,0.21626124587155143
8,50.585,18.529,453.501,136.0,0.23298996477802694
8,50.715,18.463,456.835,137.0,0.2253978489463577
8,50.773,18.516,460.17,138.0,0.22849845424636114
8,50.693,18.626,463.504,139.0,0.23857762645225755
8,50.841,18.685,466.839,140.0,0.24035370573884476
8,50.826,18.639,470.173,141.0,0.23708093987531212
8,50.831,18.681,473.508,142.0,0.2402340605563804
8,50.968,19.038,476.842,143.0,0.2647853725701211
8,50.968,19.038,480.177,144.0,0.2647853725701211
8,50.968,19.038,483.512,145.0,0.2647853725701211
8,51.016,18.766,486.846,146.0,0.24325102449866715
8,50.794,18.398,490.181,147.0,0.21890370602300585
8,50.785,18.043,493.515,148.0,0.1910975768480584
8,50.853,18.133,496.85,149.0,0.19714408242528117
9,2.858,19.326,0.0,0.0,0.0
