 ,Label,Area,X,Y,XM,YM
1,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.443,54.115,10.763,54.115,10.763
2,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.485,53.548,14.382,53.548,14.382
3,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,7.575,54.224,19.572,54.224,19.572
4,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,3.172,38.649,15.754,38.649,15.754
5,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.952,2.865,19.403,2.865,19.403
6,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.642,52.704,26.912,52.704,26.912
7,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,4.148,19.598,41.366,19.598,41.366
8,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,4.350,48.766,42.825,48.766,42.825
9,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,3.024,31.812,42.065,31.812,42.065
10,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,4.360,48.394,46.184,48.394,46.184
11,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,3.703,33.393,47.442,33.393,47.442
12,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.493,23.145,47.955,23.145,47.955
13,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.316,54.181,10.866,54.181,10.866
14,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.496,53.549,14.569,53.549,14.569
15,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,7.638,54.244,19.483,54.244,19.483
16,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,3.204,38.445,15.744,38.445,15.744
