 ,Label,Area,X,Y,XM,YM
1,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.249,10.302,9.833,10.302,9.833
2,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.347,5.669,10.285,5.669,10.285
3,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.400,8.212,11.612,8.212,11.612
4,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.185,38.758,15.762,38.758,15.762
5,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.270,19.529,19.009,19.529,19.009
6,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.634,26.432,19.110,26.432,19.110
7,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.220,15.630,19.541,15.630,19.541
8,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.578,21.577,19.592,21.577,19.592
9,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.252,18.955,20.586,18.955,20.586
10,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.613,17.238,30.259,17.238,30.259
11,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.284,16.390,30.830,16.390,30.830
12,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.846,36.853,31.288,36.853,31.288
13,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,1.241,14.177,32.423,14.177,32.423
14,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.780,13.833,34.095,13.833,34.095
15,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.101,29.440,39.819,29.440,39.819
