,frame,Area,X,Y,x,y
1,1,1.347,5.669,10.285,5.669,10.285
2,1,1.4,8.212,11.612,8.212,11.612
3,1,2.185,38.758,15.762,38.758,15.762
4,1,2.27,19.529,19.009,19.529,19.009
5,1,1.634,26.432,19.11,26.432,19.11
6,1,1.22,15.63,19.541,15.63,19.541
7,1,2.578,21.577,19.592,21.577,19.592
8,1,1.252,18.955,20.586,18.955,20.586
9,1,1.613,17.238,30.259,17.238,30.259
10,1,1.284,16.39,30.83,16.39,30.83
11,1,1.846,36.853,31.288,36.853,31.288
12,1,1.241,14.177,32.423,14.177,32.423
13,1,2.78,13.833,34.095,13.833,34.095
14,1,2.101,29.44,39.819,29.44,39.819
15,1,1.506,19.934,40.093,19.934,40.093
16,1,2.207,31.824,42.059,31.824,42.059
17,1,1.485,19.24,42.663,19.24,42.663
18,1,1.252,25.769,42.055,25.769,42.055
19,1,1.273,23.266,42.669,23.266,42.669
20,1,2.175,24.673,43.149,24.673,43.149
21,1,2.472,5.461,43.577,5.461,43.577
22,1,1.719,25.084,43.861,25.084,43.861
23,1,1.05,47.979,45.514,47.979,45.514
24,1,2.663,33.373,47.434,33.373,47.434
25,1,1.316,7.519,46.105,7.519,46.105
26,1,1.262,5.006,46.839,5.006,46.839
27,1,1.167,23.123,47.962,23.123,47.962
28,2,1.199,11.576,9.591,11.576,9.591
29,2,1.432,5.424,10.078,5.424,10.078
30,2,1.04,8.922,10.068,8.922,10.068
31,2,1.347,7.92,11.397,7.92,11.397
32,2,2.26,38.457,15.744,38.457,15.744
33,2,2.27,19.518,19.047,19.518,19.047
34,2,1.676,26.708,19.117,26.708,19.117
35,2,1.188,15.831,19.593,15.831,19.593
36,2,2.451,21.788,19.615,21.788,19.615
37,2,1.262,19.111,20.605,19.111,20.605
38,2,1.57,17.2,29.581,17.2,29.581
39,2,1.241,16.392,30.885,16.392,30.885
40,2,1.772,36.898,31.243,36.898,31.243
41,2,1.347,13.79,32.96,13.79,32.96
42,2,1.326,14.861,32.974,14.861,32.974
43,2,1.241,12.919,35.145,12.919,35.145
44,2,1.581,19.943,40.099,19.943,40.099
45,2,2.143,31.819,42.061,31.819,42.061
46,2,1.56,19.246,42.637,19.246,42.637
47,2,1.22,24.831,42.136,24.831,42.136
48,2,2.016,24.35,43.223,24.35,43.223
49,2,2.514,5.847,43.519,5.847,43.519
50,2,1.305,22.368,43.08,22.368,43.08
51,2,1.623,24.842,43.872,24.842,43.872
52,2,2.652,33.429,47.475,33.429,47.475
53,2,1.241,7.553,46.099,7.553,46.099
54,2,1.262,5.015,46.797,5.015,46.797
55,2,1.05,23.176,47.863,23.176,47.863
56,3,2.228,10.278,9.816,10.278,9.816
57,3,2.716,6.652,10.728,6.652,10.728
58,3,2.26,38.603,15.714,38.603,15.714
59,3,1.04,20.956,18.926,20.956,18.926
60,3,1.591,27.192,19.058,27.192,19.058
61,3,1.273,15.724,19.567,15.724,19.567
62,3,1.114,18.39,19.258,18.39,19.258
63,3,2.472,22.324,19.556,22.324,19.556
64,3,1.22,19.098,20.574,19.098,20.574
65,3,1.581,17.143,28.682,17.143,28.682
66,3,1.273,16.432,30.863,16.432,30.863
67,3,1.793,36.944,31.109,36.944,31.109
68,3,2.62,13.89,34.06,13.89,34.06
69,3,1.326,13.13,33.668,13.13,33.668
70,3,2.101,29.313,40.134,29.313,40.134
71,3,1.538,19.936,39.998,19.936,39.998
72,3,1.029,48.397,42.624,48.397,42.624
73,3,1.517,19.259,42.496,19.259,42.496
74,3,2.323,31.829,42.068,31.829,42.068
75,3,1.273,23.954,42.469,23.954,42.469
76,3,2.536,5.909,43.486,5.909,43.486
77,3,2.048,23.717,43.443,23.717,43.443
78,3,1.262,21.511,43.441,21.511,43.441
79,3,1.666,24.398,44.009,24.398,44.009
80,3,1.04,48.001,45.614,48.001,45.614
81,3,2.663,33.465,47.447,33.465,47.447
82,3,2.514,6.207,46.437,6.207,46.437
83,3,1.114,23.215,47.791,23.215,47.791
84,4,2.345,10.2,9.835,10.2,9.835
85,4,1.294,5.483,10.177,5.483,10.177
86,4,1.379,8.027,11.448,8.027,11.448
87,4,2.185,38.698,15.719,38.698,15.719
88,4,1.04,21.174,18.964,21.174,18.964
89,4,1.75,27.684,19.007,27.684,19.007
90,4,2.493,22.927,19.47,22.927,19.47
91,4,1.262,15.856,19.628,15.856,19.628
92,4,1.252,19.124,20.579,19.124,20.579
93,4,1.634,17.152,28.602,17.152,28.602
94,4,1.305,16.445,30.848,16.445,30.848
95,4,1.804,37.093,30.888,37.093,30.888
96,4,2.673,13.874,34.052,13.874,34.052
97,4,1.284,12.572,34.237,12.572,34.237
98,4,1.443,20.124,39.68,20.124,39.68
99,4,1.05,28.151,40.922,28.151,40.922
100,4,1.506,19.356,42.149,19.356,42.149
101,4,2.323,31.899,42.078,31.899,42.078
102,4,1.018,48.243,43.18,48.243,43.18
103,4,1.241,23.184,42.735,23.184,42.735
104,4,2.472,5.914,43.45,5.914,43.45
105,4,2.101,22.983,43.701,22.983,43.701
106,4,1.252,20.738,43.727,20.738,43.727
107,4,1.75,23.762,44.232,23.762,44.232
108,4,1.804,1.281,44.869,1.281,44.869
109,4,1.018,48.055,46.197,48.055,46.197
110,4,2.673,33.421,47.447,33.421,47.447
111,4,2.546,6.177,46.425,6.177,46.425
112,4,1.093,23.45,47.436,23.45,47.436
113,5,2.302,10.005,9.812,10.005,9.812
114,5,1.347,5.403,10.195,5.403,10.195
115,5,1.411,7.989,11.444,7.989,11.444
116,5,2.292,38.385,15.757,38.385,15.757
117,5,2.196,19.886,19.184,19.886,19.184
118,5,1.634,28.006,18.944,28.006,18.944
119,5,1.284,15.753,19.579,15.753,19.579
120,5,2.546,23.314,19.405,23.314,19.405
121,5,1.305,19.079,20.555,19.079,20.555
122,5,1.538,17.154,28.386,17.154,28.386
123,5,1.453,36.696,29.816,36.696,29.816
124,5,1.719,37.357,30.412,37.357,30.412
125,5,1.252,16.441,30.903,16.441,30.903
126,5,2.684,13.824,34.089,13.824,34.089
127,5,1.358,12.432,34.298,12.432,34.298
128,5,1.506,20.15,39.631,20.15,39.631
129,5,1.018,28.235,40.923,28.235,40.923
130,5,1.496,19.376,42.097,19.376,42.097
131,5,2.292,31.931,42.09,31.931,42.09
