 ,Label,Area,X,Y,XM,YM
1,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.249,10.302,9.833,10.302,9.833
2,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.185,38.758,15.762,38.758,15.762
3,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.270,19.529,19.009,19.529,19.009
4,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.578,21.577,19.592,21.577,19.592
5,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.780,13.833,34.095,13.833,34.095
6,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.101,29.440,39.819,29.440,39.819
7,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.207,31.824,42.059,31.824,42.059
8,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.175,24.673,43.149,24.673,43.149
9,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.472,5.461,43.577,5.461,43.577
10,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:1/200 - Series 1,2.663,33.373,47.434,33.373,47.434
11,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.260,38.457,15.744,38.457,15.744
12,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.270,19.518,19.047,19.518,19.047
13,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.451,21.788,19.615,21.788,19.615
14,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.143,31.819,42.061,31.819,42.061
15,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.016,24.350,43.223,24.350,43.223
16,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.514,5.847,43.519,5.847,43.519
17,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.652,33.429,47.475,33.429,47.475
18,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.228,10.278,9.816,10.278,9.816
