 ,Label,Area,X,Y,XM,YM
1,movie_binary.tif:1,2896.300,29.813,25.240,29.813,25.240
2,movie_binary.tif:1,0.011,54.642,16.738,54.642,16.738
3,movie_binary.tif:1,0.011,54.642,17.047,54.642,17.047
4,movie_binary.tif:1,0.011,54.745,20.343,54.745,20.343
5,movie_binary.tif:1,0.011,53.921,20.755,53.921,20.755
6,movie_binary.tif:1,0.021,54.384,22.145,54.384,22.145
7,movie_binary.tif:1,0.042,16.789,29.973,16.789,29.973
8,movie_binary.tif:1,0.106,16.758,30.663,16.758,30.663
9,movie_binary.tif:1,0.074,48.962,41.781,48.962,41.781
10,movie_binary.tif:1,0.064,48.874,42.230,48.874,42.230
11,movie_binary.tif:1,0.552,24.411,42.781,24.411,42.781
12,movie_binary.tif:1,0.021,25.905,42.436,25.905,42.436
13,movie_binary.tif:1,0.350,24.899,43.502,24.899,43.502
14,movie_binary.tif:1,0.011,5.614,44.960,5.614,44.960
15,movie_binary.tif:2,2895.780,29.836,25.245,29.836,25.245
16,movie_binary.tif:2,0.011,11.794,0.052,11.794,0.052
17,movie_binary.tif:2,0.011,11.588,0.464,11.588,0.464
18,movie_binary.tif:2,0.318,0.577,3.557,0.577,3.557
19,movie_binary.tif:2,0.011,0.258,5.305,0.258,5.305
20,movie_binary.tif:2,0.011,25.905,20.034,25.905,20.034
21,movie_binary.tif:2,0.011,53.612,21.888,53.612,21.888
22,movie_binary.tif:2,0.011,16.738,29.304,16.738,29.304
23,movie_binary.tif:2,0.074,16.061,29.671,16.061,29.671
24,movie_binary.tif:2,0.074,16.796,29.671,16.796,29.671
25,movie_binary.tif:2,0.011,24.669,42.694,24.669,42.694
26,movie_binary.tif:2,0.011,3.348,44.033,3.348,44.033
27,movie_binary.tif:2,0.032,6.438,44.136,6.438,44.136
28,movie_binary.tif:2,0.011,48.874,44.239,48.874,44.239
29,movie_binary.tif:2,0.011,5.820,44.857,5.820,44.857
30,movie_binary.tif:2,0.011,5.305,45.166,5.305,45.166
31,movie_binary.tif:2,0.011,3.245,46.093,3.245,46.093
32,movie_binary.tif:2,0.011,48.359,46.299,48.359,46.299
33,movie_binary.tif:3,2895.419,29.840,25.230,29.840,25.230
34,movie_binary.tif:3,0.011,0.567,4.996,0.567,4.996
35,movie_binary.tif:3,0.011,0.052,5.408,0.052,5.408
36,movie_binary.tif:3,0.011,0.052,5.717,0.052,5.717
37,movie_binary.tif:3,0.011,24.875,20.034,24.875,20.034
38,movie_binary.tif:3,0.011,53.818,20.858,53.818,20.858
39,movie_binary.tif:3,0.011,54.539,21.785,54.539,21.785
40,movie_binary.tif:3,0.011,54.539,22.094,54.539,22.094
41,movie_binary.tif:3,0.011,18.386,26.832,18.386,26.832
42,movie_binary.tif:3,0.350,13.513,33.910,13.513,33.910
43,movie_binary.tif:3,0.042,24.102,42.900,24.102,42.900
44,movie_binary.tif:3,0.011,23.021,44.136,23.021,44.136
45,movie_binary.tif:3,0.011,4.275,46.093,4.275,46.093
46,movie_binary.tif:4,2894.539,29.846,25.228,29.846,25.228
47,movie_binary.tif:4,0.042,0.798,3.219,0.798,3.219
48,movie_binary.tif:4,0.011,0.876,4.996,0.876,4.996
49,movie_binary.tif:4,0.032,21.888,19.210,21.888,19.210
50,movie_binary.tif:4,0.011,54.642,20.343,54.642,20.343
51,movie_binary.tif:4,0.011,53.612,21.682,53.612,21.682
52,movie_binary.tif:4,0.011,54.333,22.815,54.333,22.815
53,movie_binary.tif:4,0.011,19.004,28.377,19.004,28.377
54,movie_binary.tif:4,0.011,16.223,29.510,16.223,29.510
55,movie_binary.tif:4,0.042,48.642,43.131,48.642,43.131
56,movie_binary.tif:4,0.032,48.599,43.449,48.599,43.449
57,movie_binary.tif:4,0.011,6.850,44.033,6.850,44.033
58,movie_binary.tif:5,2892.566,29.849,25.224,29.849,25.224
59,movie_binary.tif:5,0.011,54.024,10.661,54.024,10.661
60,movie_binary.tif:5,0.011,52.582,26.729,52.582,26.729
61,movie_binary.tif:5,0.011,16.120,29.510,16.120,29.510
62,movie_binary.tif:5,0.042,48.693,42.771,48.693,42.771
63,movie_binary.tif:5,0.011,0.052,42.900,0.052,42.900
64,movie_binary.tif:5,0.011,48.668,43.106,48.668,43.106
65,movie_binary.tif:5,0.095,48.599,43.506,48.599,43.506
66,movie_binary.tif:5,0.074,48.388,46.460,48.388,46.460
67,movie_binary.tif:5,0.095,2.226,50.773,2.226,50.773
68,movie_binary.tif:5,0.011,0.052,50.831,0.052,50.831
69,movie_binary.tif:5,0.011,0.361,50.831,0.361,50.831
70,movie_binary.tif:6,2891.770,29.861,25.227,29.861,25.227
71,movie_binary.tif:6,0.011,1.597,2.936,1.597,2.936
72,movie_binary.tif:6,0.011,0.567,5.202,0.567,5.202
73,movie_binary.tif:6,0.011,16.223,26.832,16.223,26.832
74,movie_binary.tif:6,0.011,2.112,43.724,2.112,43.724
75,movie_binary.tif:6,0.042,48.333,46.556,48.333,46.556
76,movie_binary.tif:6,0.106,0.268,50.789,0.268,50.789
77,movie_binary.tif:6,0.042,2.421,50.805,2.421,50.805
78,movie_binary.tif:6,0.011,0.773,50.831,0.773,50.831
79,movie_binary.tif:6,0.011,0.979,50.831,0.979,50.831
80,movie_binary.tif:6,0.011,1.185,50.831,1.185,50.831
81,movie_binary.tif:7,2890.879,29.866,25.232,29.866,25.232
82,movie_binary.tif:7,0.011,0.361,4.996,0.361,4.996
83,movie_binary.tif:7,0.011,0.258,5.305,0.258,5.305
84,movie_binary.tif:7,0.011,10.146,8.910,10.146,8.910
85,movie_binary.tif:7,0.011,28.995,19.725,28.995,19.725
86,movie_binary.tif:7,0.011,16.223,27.038,16.223,27.038
87,movie_binary.tif:7,0.021,36.874,29.819,36.874,29.819
88,movie_binary.tif:7,0.021,49.080,42.230,49.080,42.230
89,movie_binary.tif:7,0.011,1.082,43.106,1.082,43.106
90,movie_binary.tif:7,0.011,6.438,44.960,6.438,44.960
91,movie_binary.tif:7,0.053,18.859,45.021,18.859,45.021
92,movie_binary.tif:7,0.021,18.437,45.269,18.437,45.269
93,movie_binary.tif:7,0.223,0.620,50.747,0.620,50.747
94,movie_binary.tif:7,0.032,2.318,50.831,2.318,50.831
95,movie_binary.tif:8,2888.937,29.869,25.224,29.869,25.224
96,movie_binary.tif:8,0.011,1.185,4.378,1.185,4.378
97,movie_binary.tif:8,0.011,53.715,13.339,53.715,13.339
98,movie_binary.tif:8,0.011,54.436,22.197,54.436,22.197
99,movie_binary.tif:8,0.011,12.000,35.999,12.000,35.999
100,movie_binary.tif:8,0.011,49.286,41.767,49.286,41.767
101,movie_binary.tif:8,0.011,0.258,42.900,0.258,42.900
102,movie_binary.tif:8,0.011,8.704,43.724,8.704,43.724
103,movie_binary.tif:8,0.021,20.755,44.290,20.755,44.290
104,movie_binary.tif:8,0.583,19.597,44.915,19.597,44.915
105,movie_binary.tif:8,0.011,6.129,45.475,6.129,45.475
106,movie_binary.tif:8,0.011,18.386,45.681,18.386,45.681
107,movie_binary.tif:8,0.011,19.519,45.887,19.519,45.887
108,movie_binary.tif:8,0.276,0.705,50.743,0.705,50.743
109,movie_binary.tif:8,0.032,2.283,50.796,2.283,50.796
110,movie_binary.tif:9,2888.481,29.870,25.233,29.870,25.233
111,movie_binary.tif:9,0.011,10.970,1.391,10.970,1.391
112,movie_binary.tif:9,0.011,1.597,3.657,1.597,3.657
113,movie_binary.tif:9,0.011,1.288,4.069,1.288,4.069
114,movie_binary.tif:9,0.011,10.146,8.807,10.146,8.807
115,movie_binary.tif:9,0.011,8.601,9.013,8.601,9.013
116,movie_binary.tif:9,0.011,10.249,9.013,10.249,9.013
117,movie_binary.tif:9,0.011,4.378,18.489,4.378,18.489
118,movie_binary.tif:9,0.011,53.509,21.888,53.509,21.888
119,movie_binary.tif:9,0.339,16.354,26.729,16.354,26.729
120,movie_binary.tif:9,0.011,53.200,27.862,53.200,27.862
121,movie_binary.tif:9,0.276,37.936,29.078,37.936,29.078
122,movie_binary.tif:9,0.011,7.468,44.651,7.468,44.651
123,movie_binary.tif:9,0.424,19.130,45.222,19.130,45.222
124,movie_binary.tif:9,0.011,6.850,45.063,6.850,45.063
125,movie_binary.tif:9,0.032,17.871,46.058,17.871,46.058
126,movie_binary.tif:9,0.265,0.678,50.699,0.678,50.699
127,movie_binary.tif:9,0.032,2.215,50.831,2.215,50.831
128,movie_binary.tif:10,2890.423,29.866,25.244,29.866,25.244
129,movie_binary.tif:10,0.095,1.906,1.459,1.906,1.459
130,movie_binary.tif:10,0.011,31.261,19.622,31.261,19.622
131,movie_binary.tif:10,0.011,54.230,22.918,54.230,22.918
132,movie_binary.tif:10,0.011,19.519,40.737,19.519,40.737
133,movie_binary.tif:10,0.011,5.923,44.548,5.923,44.548
134,movie_binary.tif:10,0.011,6.850,44.960,6.850,44.960
135,movie_binary.tif:10,0.011,6.953,45.166,6.953,45.166
136,movie_binary.tif:10,0.180,0.663,50.697,0.663,50.697
137,movie_binary.tif:11,2890.179,29.864,25.241,29.864,25.241
138,movie_binary.tif:11,0.011,2.215,3.142,2.215,3.142
139,movie_binary.tif:11,0.011,1.803,3.554,1.803,3.554
140,movie_binary.tif:11,0.021,0.103,3.760,0.103,3.760
141,movie_binary.tif:11,0.011,0.052,3.966,0.052,3.966
142,movie_binary.tif:11,0.011,54.745,17.871,54.745,17.871
143,movie_binary.tif:11,0.021,54.693,19.982,54.693,19.982
144,movie_binary.tif:11,0.011,54.333,22.403,54.333,22.403
145,movie_binary.tif:11,0.042,16.326,25.029,16.326,25.029
146,movie_binary.tif:11,0.021,16.274,25.390,16.274,25.390
147,movie_binary.tif:11,0.011,7.777,43.312,7.777,43.312
148,movie_binary.tif:11,0.011,8.601,43.930,8.601,43.930
149,movie_binary.tif:11,0.011,7.777,44.548,7.777,44.548
150,movie_binary.tif:11,0.095,48.290,45.726,48.290,45.726
151,movie_binary.tif:11,0.011,17.768,46.299,17.768,46.299
152,movie_binary.tif:11,0.212,0.654,50.573,0.654,50.573
153,movie_binary.tif:12,2890.168,29.861,25.238,29.861,25.238
154,movie_binary.tif:12,0.011,2.215,2.833,2.215,2.833
155,movie_binary.tif:12,0.011,1.803,3.554,1.803,3.554
156,movie_binary.tif:12,0.032,0.052,3.863,0.052,3.863
157,movie_binary.tif:12,0.011,1.391,3.966,1.391,3.966
158,movie_binary.tif:12,0.011,53.612,14.163,53.612,14.163
159,movie_binary.tif:12,0.011,28.480,19.725,28.480,19.725
160,movie_binary.tif:12,0.011,29.716,19.725,29.716,19.725
161,movie_binary.tif:12,0.011,16.120,28.068,16.120,28.068
162,movie_binary.tif:12,0.011,2.936,43.930,2.936,43.930
163,movie_binary.tif:12,0.011,7.983,44.342,7.983,44.342
164,movie_binary.tif:12,0.021,48.513,44.857,48.513,44.857
165,movie_binary.tif:12,0.074,48.476,45.210,48.476,45.210
166,movie_binary.tif:12,0.021,16.995,46.659,16.995,46.659
167,movie_binary.tif:12,0.011,0.876,50.625,0.876,50.625
168,movie_binary.tif:12,0.021,1.133,50.831,1.133,50.831
169,movie_binary.tif:13,2889.086,29.862,25.241,29.862,25.241
170,movie_binary.tif:13,0.011,3.039,1.803,3.039,1.803
171,movie_binary.tif:13,0.064,0.120,3.948,0.120,3.948
172,movie_binary.tif:13,0.011,12.927,9.013,12.927,9.013
173,movie_binary.tif:13,0.011,16.223,24.669,16.223,24.669
174,movie_binary.tif:13,0.011,16.223,25.081,16.223,25.081
175,movie_binary.tif:13,0.011,18.592,30.128,18.592,30.128
176,movie_binary.tif:13,0.011,29.613,40.119,29.613,40.119
177,movie_binary.tif:13,0.064,49.457,41.406,49.457,41.406
178,movie_binary.tif:13,0.011,8.086,44.239,8.086,44.239
179,movie_binary.tif:14,2885.946,29.870,25.247,29.870,25.247
180,movie_binary.tif:14,0.605,2.265,0.657,2.265,0.657
181,movie_binary.tif:14,0.011,2.421,3.039,2.421,3.039
182,movie_binary.tif:14,0.011,2.009,3.451,2.009,3.451
183,movie_binary.tif:14,0.011,9.734,9.013,9.734,9.013
184,movie_binary.tif:14,0.011,54.642,14.163,54.642,14.163
185,movie_binary.tif:14,0.011,54.642,15.605,54.642,15.605
186,movie_binary.tif:14,0.011,54.745,18.592,54.745,18.592
187,movie_binary.tif:14,0.011,29.819,19.828,29.819,19.828
188,movie_binary.tif:14,0.042,16.068,24.360,16.068,24.360
189,movie_binary.tif:14,0.011,38.574,28.583,38.574,28.583
190,movie_binary.tif:14,0.191,11.204,35.953,11.204,35.953
191,movie_binary.tif:14,0.021,9.476,43.415,9.476,43.415
192,movie_binary.tif:14,0.064,18.231,46.041,18.231,46.041
193,movie_binary.tif:14,0.095,17.687,46.402,17.687,46.402
194,movie_binary.tif:14,0.011,17.356,46.608,17.356,46.608
195,movie_binary.tif:15,3.024,0.579,1.177,0.579,1.177
196,movie_binary.tif:15,2883.230,29.892,25.265,29.892,25.265
197,movie_binary.tif:15,0.011,0.052,3.348,0.052,3.348
198,movie_binary.tif:15,0.011,2.009,3.451,2.009,3.451
199,movie_binary.tif:15,0.011,11.897,9.013,11.897,9.013
200,movie_binary.tif:15,0.011,54.745,19.725,54.745,19.725
201,movie_binary.tif:15,0.011,32.085,38.265,32.085,38.265
202,movie_binary.tif:15,0.032,48.668,44.136,48.668,44.136
203,movie_binary.tif:15,0.011,59.071,50.831,59.071,50.831
204,movie_binary.tif:16,2884.322,29.862,25.225,29.862,25.225
205,movie_binary.tif:16,0.011,11.691,8.910,11.691,8.910
206,movie_binary.tif:16,0.021,12.051,9.013,12.051,9.013
207,movie_binary.tif:16,0.011,11.176,9.116,11.176,9.116
208,movie_binary.tif:16,0.011,53.715,13.339,53.715,13.339
209,movie_binary.tif:16,0.011,53.612,14.575,53.612,14.575
210,movie_binary.tif:16,0.011,53.509,14.781,53.509,14.781
211,movie_binary.tif:16,0.011,54.745,18.592,54.745,18.592
212,movie_binary.tif:16,0.021,16.068,24.051,16.068,24.051
213,movie_binary.tif:16,0.106,16.171,24.648,16.171,24.648
214,movie_binary.tif:16,0.053,16.181,25.307,16.181,25.307
215,movie_binary.tif:16,0.361,11.930,35.496,11.930,35.496
216,movie_binary.tif:16,0.202,48.727,43.317,48.727,43.317
217,movie_binary.tif:16,0.011,2.215,43.724,2.215,43.724
218,movie_binary.tif:16,0.011,8.704,43.827,8.704,43.827
219,movie_binary.tif:16,0.011,7.880,44.239,7.880,44.239
220,movie_binary.tif:16,0.021,7.313,44.857,7.313,44.857
221,movie_binary.tif:16,0.987,16.746,46.626,16.746,46.626
222,movie_binary.tif:16,0.011,15.399,47.432,15.399,47.432
223,movie_binary.tif:16,0.011,58.968,49.904,58.968,49.904
224,movie_binary.tif:17,3.968,0.901,1.240,0.901,1.240
225,movie_binary.tif:17,2879.676,29.898,25.260,29.898,25.260
226,movie_binary.tif:17,0.011,11.794,0.052,11.794,0.052
227,movie_binary.tif:17,0.021,2.781,2.163,2.781,2.163
228,movie_binary.tif:17,0.011,2.215,3.142,2.215,3.142
229,movie_binary.tif:17,0.011,13.133,9.219,13.133,9.219
230,movie_binary.tif:17,0.021,54.745,13.596,54.745,13.596
231,movie_binary.tif:17,0.011,54.745,18.695,54.745,18.695
232,movie_binary.tif:17,0.011,54.436,20.240,54.436,20.240
233,movie_binary.tif:17,0.042,16.094,24.257,16.094,24.257
234,movie_binary.tif:17,0.095,16.165,24.794,16.165,24.794
235,movie_binary.tif:17,0.011,48.771,41.973,48.771,41.973
236,movie_binary.tif:17,0.032,48.908,42.247,48.908,42.247
237,movie_binary.tif:17,0.074,48.800,42.664,48.800,42.664
238,movie_binary.tif:17,0.021,48.822,43.157,48.822,43.157
239,movie_binary.tif:17,0.011,1.906,43.415,1.906,43.415
240,movie_binary.tif:17,0.053,48.709,43.497,48.709,43.497
241,movie_binary.tif:17,0.011,8.498,44.239,8.498,44.239
242,movie_binary.tif:17,0.011,6.335,45.166,6.335,45.166
243,movie_binary.tif:17,0.011,6.129,45.269,6.129,45.269
244,movie_binary.tif:17,0.011,5.717,45.475,5.717,45.475
245,movie_binary.tif:17,0.011,18.077,45.887,18.077,45.887
246,movie_binary.tif:17,1.018,16.289,46.866,16.289,46.866
247,movie_binary.tif:17,0.011,15.090,47.844,15.090,47.844
248,movie_binary.tif:18,2883.707,29.856,25.227,29.856,25.227
249,movie_binary.tif:18,0.011,3.245,1.700,3.245,1.700
250,movie_binary.tif:18,0.021,3.039,1.957,3.039,1.957
251,movie_binary.tif:18,0.011,1.082,2.730,1.082,2.730
252,movie_binary.tif:18,0.011,2.421,2.833,2.421,2.833
253,movie_binary.tif:18,0.011,54.848,12.309,54.848,12.309
254,movie_binary.tif:18,0.011,54.745,18.489,54.745,18.489
255,movie_binary.tif:18,0.011,30.128,19.622,30.128,19.622
256,movie_binary.tif:18,0.085,48.822,42.243,48.822,42.243
257,movie_binary.tif:18,0.011,7.674,44.651,7.674,44.651
258,movie_binary.tif:18,0.011,6.953,44.754,6.953,44.754
259,movie_binary.tif:18,0.011,17.974,45.887,17.974,45.887
260,movie_binary.tif:18,1.146,16.182,46.937,16.182,46.937
261,movie_binary.tif:18,0.191,17.882,46.888,17.882,46.888
262,movie_binary.tif:19,4.753,0.957,1.348,0.957,1.348
263,movie_binary.tif:19,2879.039,29.906,25.267,29.906,25.267
264,movie_binary.tif:19,0.011,4.275,0.155,4.275,0.155
265,movie_binary.tif:19,0.011,2.627,0.773,2.627,0.773
266,movie_binary.tif:19,0.011,10.764,8.704,10.764,8.704
267,movie_binary.tif:19,0.021,53.612,14.935,53.612,14.935
268,movie_binary.tif:19,0.011,29.716,19.519,29.716,19.519
269,movie_binary.tif:19,0.021,29.973,19.673,29.973,19.673
270,movie_binary.tif:19,0.021,16.017,24.205,16.017,24.205
271,movie_binary.tif:19,0.011,52.170,26.729,52.170,26.729
272,movie_binary.tif:19,0.011,19.210,28.686,19.210,28.686
273,movie_binary.tif:19,0.074,48.785,42.944,48.785,42.944
274,movie_binary.tif:19,0.011,3.760,44.136,3.760,44.136
275,movie_binary.tif:19,0.011,6.541,44.960,6.541,44.960
276,movie_binary.tif:19,0.011,5.614,45.475,5.614,45.475
277,movie_binary.tif:19,1.453,15.929,47.120,15.929,47.120
278,movie_binary.tif:20,2884.726,29.838,25.234,29.838,25.234
279,movie_binary.tif:20,0.011,3.142,1.700,3.142,1.700
280,movie_binary.tif:20,0.011,11.382,8.910,11.382,8.910
281,movie_binary.tif:20,0.011,10.146,9.116,10.146,9.116
282,movie_binary.tif:20,0.011,54.127,10.970,54.127,10.970
283,movie_binary.tif:20,0.011,54.642,18.077,54.642,18.077
284,movie_binary.tif:20,0.011,19.107,28.686,19.107,28.686
285,movie_binary.tif:20,0.011,16.841,29.716,16.841,29.716
286,movie_binary.tif:20,0.011,48.668,43.106,48.668,43.106
287,movie_binary.tif:20,0.127,48.719,43.724,48.719,43.724
288,movie_binary.tif:20,0.011,8.395,44.136,8.395,44.136
289,movie_binary.tif:20,0.011,8.704,44.239,8.704,44.239
290,movie_binary.tif:20,0.011,48.668,44.239,48.668,44.239
291,movie_binary.tif:21,2884.736,29.843,25.233,29.843,25.233
292,movie_binary.tif:21,0.011,10.043,3.245,10.043,3.245
293,movie_binary.tif:21,0.011,53.612,14.472,53.612,14.472
294,movie_binary.tif:21,0.011,54.745,16.841,54.745,16.841
295,movie_binary.tif:21,0.011,30.540,19.828,30.540,19.828
296,movie_binary.tif:21,0.042,48.719,43.260,48.719,43.260
297,movie_binary.tif:21,0.064,48.719,43.621,48.719,43.621
298,movie_binary.tif:21,0.011,3.348,43.930,3.348,43.930
299,movie_binary.tif:21,0.117,48.658,44.313,48.658,44.313
300,movie_binary.tif:21,0.011,7.468,44.651,7.468,44.651
301,movie_binary.tif:22,2884.280,29.841,25.228,29.841,25.228
302,movie_binary.tif:22,0.011,13.751,8.601,13.751,8.601
303,movie_binary.tif:22,0.011,12.412,8.704,12.412,8.704
304,movie_binary.tif:22,0.021,29.767,19.622,29.767,19.622
305,movie_binary.tif:22,0.011,31.467,19.828,31.467,19.828
306,movie_binary.tif:22,0.011,53.818,29.098,53.818,29.098
307,movie_binary.tif:22,0.138,48.739,43.676,48.739,43.676
308,movie_binary.tif:22,0.011,9.116,43.621,9.116,43.621
309,movie_binary.tif:22,0.042,48.693,44.264,48.693,44.264
310,movie_binary.tif:22,0.053,48.647,44.589,48.647,44.589
311,movie_binary.tif:22,0.011,6.644,45.269,6.644,45.269
312,movie_binary.tif:22,0.011,17.356,47.226,17.356,47.226
313,movie_binary.tif:22,0.233,58.860,50.681,58.860,50.681
314,movie_binary.tif:23,2883.368,29.845,25.225,29.845,25.225
315,movie_binary.tif:23,0.011,3.554,1.185,3.554,1.185
316,movie_binary.tif:23,0.011,29.613,19.725,29.613,19.725
317,movie_binary.tif:23,0.011,30.025,19.828,30.025,19.828
318,movie_binary.tif:23,0.021,17.407,28.068,17.407,28.068
319,movie_binary.tif:23,0.074,10.925,37.558,10.925,37.558
320,movie_binary.tif:23,0.011,28.480,41.767,28.480,41.767
321,movie_binary.tif:23,0.117,48.611,43.798,48.611,43.798
322,movie_binary.tif:23,0.011,9.116,43.621,9.116,43.621
323,movie_binary.tif:23,0.011,7.983,44.342,7.983,44.342
324,movie_binary.tif:23,0.011,8.292,44.342,8.292,44.342
325,movie_binary.tif:23,0.085,48.577,44.586,48.577,44.586
326,movie_binary.tif:23,0.042,48.590,45.063,48.590,45.063
327,movie_binary.tif:23,0.032,17.115,46.367,17.115,46.367
