,frame,Area,X,Y,x,y,particle,squared displacement,dt,vx,vy,speed
0,1,1.485,53.548,14.382,53.548,14.382,0,0.0,,,,
1,1,4.36,48.394,46.184,48.394,46.184,5,0.0,,,,
2,1,2.642,52.704,26.912,52.704,26.912,6,0.0,,,,
3,1,1.952,2.865,19.403,2.865,19.403,7,0.0,,,,
4,1,3.172,38.649,15.754,38.649,15.754,8,0.0,,,,
5,1,7.575,54.224,19.572,54.224,19.572,9,0.0,,,,
6,1,4.148,19.598,41.366,19.598,41.366,10,0.0,,,,
7,2,8.742,48.609,44.6,48.609,44.6,5,2.5552809999999893,1.0,0.06446776611694255,-0.4749625187406285,0.4793177308180354
8,2,9.824,24.193,43.175,24.193,43.175,12,0.0,,,,
9,2,4.148,19.599,41.353,19.599,41.353,10,0.00016999999999995366,1.0,0.0002998500749628852,-0.003898050974512181,0.003909566659791161
10,2,1.941,3.314,19.225,3.314,19.225,7,0.23328499999999888,1.0,0.13463268365817088,-0.05337331334332752,0.1448263445863567
11,2,2.62,52.759,27.097,52.759,27.097,6,0.03725000000000081,1.0,0.016491754122938445,0.05547226386806665,0.05787184127621887
12,2,3.204,38.445,15.744,38.445,15.744,8,0.04171600000000025,1.0,-0.061169415292354014,-0.0029985007496251236,0.061242863861465324
13,2,7.638,54.244,19.483,54.244,19.483,9,0.00832099999999988,1.0,0.005997001499251312,-0.02668665667166376,0.02735217854748097
14,2,1.496,53.549,14.569,53.549,14.569,0,0.03497000000000043,1.0,0.0002998500749618199,0.05607196401799135,0.056072765750428
15,2,1.316,54.181,10.866,54.181,10.866,13,0.0,,,,
16,3,4.063,19.598,41.267,19.598,41.267,10,0.009800999999999336,1.0,-0.0002998500749628852,-0.02578710644677617,0.025788849702241864
17,3,9.697,23.528,43.424,23.528,43.424,12,0.5042260000000047,1.0,-0.19940029985007576,0.07466266866566787,0.2129201579761283
18,3,8.71,48.601,44.552,48.601,44.552,5,2.7062729999999937,1.0,-0.002398800599700951,-0.014392803598201446,0.014591334405513643
19,3,1.857,3.79,18.924,3.79,18.924,7,1.085065999999999,1.0,0.1427286356821589,-0.09025487256371872,0.16887097283187408
20,3,8.105,36.26,31.2,36.26,31.2,15,0.0,,,,
21,3,2.631,52.837,27.252,52.837,27.252,6,0.1332890000000006,1.0,0.023388305847077347,0.046476761619189684,0.052029820497512924
22,3,3.172,38.535,15.714,38.535,15.714,8,0.014596000000000916,1.0,0.026986506746625578,-0.00899550224887537,0.028446275803612493
23,3,7.575,54.288,19.328,54.288,19.328,9,0.0636319999999999,1.0,0.013193403298349905,-0.046476761619190746,0.048313096166567426
24,3,1.517,53.562,14.32,53.562,14.32,0,0.004039999999999807,1.0,0.003898050974512181,-0.07466266866566733,0.07476435576983939
25,3,1.316,54.234,10.573,54.234,10.573,13,0.08865800000000003,1.0,0.015892053973014807,-0.08785607196401778,0.0892818389171498
26,4,9.866,22.859,43.67,22.859,43.67,12,2.0245810000000035,1.0,-0.20059970014992412,0.07376311844078028,0.2137316947538386
27,4,8.699,48.602,44.555,48.602,44.555,5,2.696904999999992,1.0,0.0002998500749618199,0.0008995502248875904,0.0009482091934535983
