frame,Area,X,Y,x,y,particle
1,1.347,5.669,10.285,5.669,10.285,0
1,1.167,23.123,47.962,23.123,47.962,1
1,1.316,7.519,46.105,7.519,46.105,3
1,2.663,33.373,47.434,33.373,47.434,4
1,1.05,47.979,45.514,47.979,45.514,5
1,2.207,31.824,42.059,31.824,42.059,11
1,1.506,19.934,40.093,19.934,40.093,12
1,2.472,5.461,43.577,5.461,43.577,13
1,2.78,13.833,34.095,13.833,34.095,14
1,2.101,29.44,39.819,29.44,39.819,15
1,1.4,8.212,11.612,8.212,11.612,16
1,2.185,38.758,15.762,38.758,15.762,17
1,1.22,15.63,19.541,15.63,19.541,19
1,2.578,21.577,19.592,21.577,19.592,20
1,1.634,26.432,19.11,26.432,19.11,21
1,1.252,18.955,20.586,18.955,20.586,22
1,1.284,16.39,30.83,16.39,30.83,24
2,2.143,31.819,42.061,31.819,42.061,11
2,1.581,19.943,40.099,19.943,40.099,12
2,2.514,5.847,43.519,5.847,43.519,13
2,1.05,23.176,47.863,23.176,47.863,1
2,2.652,33.429,47.475,33.429,47.475,4
2,1.241,7.553,46.099,7.553,46.099,3
2,1.241,12.919,35.145,12.919,35.145,29
2,1.676,26.708,19.117,26.708,19.117,21
2,1.347,13.79,32.96,13.79,32.96,14
2,1.432,5.424,10.078,5.424,10.078,0
2,1.347,7.92,11.397,7.92,11.397,16
2,2.26,38.457,15.744,38.457,15.744,17
2,1.188,15.831,19.593,15.831,19.593,19
2,2.451,21.788,19.615,21.788,19.615,20
2,1.262,19.111,20.605,19.111,20.605,22
2,1.241,16.392,30.885,16.392,30.885,24
3,1.029,48.397,42.624,48.397,42.624,30
3,2.323,31.829,42.068,31.829,42.068,11
3,2.536,5.909,43.486,5.909,43.486,13
3,1.04,48.001,45.614,48.001,45.614,5
3,1.538,19.936,39.998,19.936,39.998,12
3,2.663,33.465,47.447,33.465,47.447,4
3,1.114,23.215,47.791,23.215,47.791,1
3,2.101,29.313,40.134,29.313,40.134,15
3,2.62,13.89,34.06,13.89,34.06,29
3,2.716,6.652,10.728,6.652,10.728,0
3,2.26,38.603,15.714,38.603,15.714,17
3,1.591,27.192,19.058,27.192,19.058,21
3,1.326,13.13,33.668,13.13,33.668,14
3,1.273,15.724,19.567,15.724,19.567,19
3,2.472,22.324,19.556,22.324,19.556,20
3,1.22,19.098,20.574,19.098,20.574,22
3,1.273,16.432,30.863,16.432,30.863,24
4,2.323,31.899,42.078,31.899,42.078,11
4,1.018,48.243,43.18,48.243,43.18,30
4,2.472,5.914,43.45,5.914,43.45,13
4,1.018,48.055,46.197,48.055,46.197,5
4,1.804,1.281,44.869,1.281,44.869,32
4,2.673,33.421,47.447,33.421,47.447,4
4,1.093,23.45,47.436,23.45,47.436,1
4,1.05,28.151,40.922,28.151,40.922,15
4,1.443,20.124,39.68,20.124,39.68,12
4,1.284,12.572,34.237,12.572,34.237,14
4,1.294,5.483,10.177,5.483,10.177,0
4,1.379,8.027,11.448,8.027,11.448,16
4,2.185,38.698,15.719,38.698,15.719,17
4,1.75,27.684,19.007,27.684,19.007,21
4,2.493,22.927,19.47,22.927,19.47,20
4,1.252,19.124,20.579,19.124,20.579,22
4,1.305,16.445,30.848,16.445,30.848,24
4,2.673,13.874,34.052,13.874,34.052,29
