Spot ID,Track_ID,X (micron),Y (micron),T (sec),Frame
2044,0,87.58,115.04,0,0
2049,0,87.76,115.04,3.33,1
2054,0,88.18,114.99,6.66,2
2062,0,88.39,114.89,9.99,3
2065,0,88.49,114.78,13.32,4
2067,0,88.7,114.26,16.65,5
2069,0,89.22,114.16,19.99,6
2071,0,89.22,114.37,23.32,7
2073,0,90.15,114.57,26.65,8
2075,0,91.08,114.42,29.98,9
2077,0,91.18,114.47,33.31,10
2079,0,91.44,114.42,36.64,11
2081,0,91.96,114.26,39.97,12
2083,0,91.91,114.11,43.3,13
2085,0,92.22,114.06,46.63,14
2087,0,92.22,114.06,49.96,15
2089,0,92.12,114.06,53.29,16
2091,0,92.12,114.06,56.62,17
2093,0,93.15,113.8,59.96,18
2095,0,93.72,113.54,63.29,19
2097,0,93.77,113.44,66.62,20
2099,0,93.62,113.44,69.95,21
2101,0,93.41,113.54,73.28,22
2107,0,93.41,113.54,76.61,23
2109,0,93.56,113.44,79.94,24
2111,0,93.56,113.44,83.27,25
2113,0,93.46,113.33,86.6,26
2115,0,93.46,113.59,89.93,27
2117,0,93.31,113.64,93.26,28
2119,0,93.77,113.18,96.6,29
2121,0,93.82,113.28,99.93,30
2123,0,93.93,113.18,103.26,31
2125,0,94.19,112.61,106.59,32
2127,0,94.86,112.4,109.92,33
2129,0,95.43,111.83,113.25,34
2131,0,95.89,111.42,116.58,35
2133,0,96.77,110.18,119.91,36
2135,0,97.65,108.88,123.24,37
2137,0,98.33,108,126.57,38
2139,0,98.84,107.59,129.9,39
2141,0,99.15,106.86,133.23,40
2143,0,99.52,106.09,136.57,41
2145,0,99.67,105.47,139.9,42
2147,0,100.19,104.59,143.23,43
2149,0,100.76,102.57,146.56,44
2151,0,100.76,102.57,149.89,45
2153,0,101.07,102.1,153.22,46
2155,0,101.48,101.22,156.55,47
2157,0,101.27,102.05,159.88,48
2159,0,101.27,101.48,163.21,49
2161,0,101.27,101.48,166.54,50
2163,0,101.22,100.81,169.87,51
2165,0,101.33,100.34,173.21,52
2167,0,101.33,100.34,176.54,53
2169,0,101.12,101.64,179.87,54
2171,0,101.27,101.74,183.2,55
2173,0,101.07,102,186.53,56
2175,0,101.33,101.53,189.86,57
2177,0,101.38,101.12,193.19,58
2179,0,101.22,101.27,196.52,59
2181,0,100.96,102.47,199.85,60
2183,0,100.96,102.62,203.18,61
2185,0,101.12,102.21,206.51,62
2187,0,101.12,102.05,209.85,63
2189,0,101.12,102.05,213.18,64
2191,0,101.12,102.05,216.51,65
2193,0,101.74,101.02,219.84,66
2195,0,101.74,101.02,223.17,67
2197,0,101.74,100.96,226.5,68
2199,0,101.59,100.5,229.83,69
2201,0,101.74,100.14,233.16,70
2203,0,101.74,99.2,236.49,71
2205,0,101.43,98.58,239.82,72
2207,0,101.48,98.07,243.15,73
2209,0,101.38,97.65,246.48,74
2211,0,101.17,96.41,249.82,75
2213,0,101.33,96.05,253.15,76
2215,0,101.27,96.57,256.48,77
2217,0,101.27,96.57,259.81,78
2219,0,101.27,96.57,263.14,79
2221,0,101.27,96.57,266.47,80
2223,0,101.27,96.57,269.8,81
2225,0,101.12,96.46,273.13,82
