,Spot ID,Track_ID,X (micron),Y (micron),T (sec),Frame,is main track,which main track id,frame range
0,2044,0,87.58,115.04,0.0,0,False,,
1,2049,0,87.76,115.04,3.33,1,False,,
2,2054,0,88.18,114.99,6.66,2,False,,
3,2062,0,88.39,114.89,9.99,3,False,,
4,2065,0,88.49,114.78,13.32,4,False,,
5,2067,0,88.7,114.26,16.65,5,False,,
6,2069,0,89.22,114.16,19.99,6,False,,
7,2071,0,89.22,114.37,23.32,7,False,,
8,2073,0,90.15,114.57,26.65,8,False,,
9,2075,0,91.08,114.42,29.98,9,False,,
10,2077,0,91.18,114.47,33.31,10,False,,
11,2079,0,91.44,114.42,36.64,11,False,,
12,2081,0,91.96,114.26,39.97,12,False,,
13,2083,0,91.91,114.11,43.3,13,False,,
14,2085,0,92.22,114.06,46.63,14,False,,
15,2087,0,92.22,114.06,49.96,15,False,,
16,2089,0,92.12,114.06,53.29,16,False,,
17,2091,0,92.12,114.06,56.62,17,False,,
18,2093,0,93.15,113.8,59.96,18,False,,
19,2095,0,93.72,113.54,63.29,19,False,,
20,2097,0,93.77,113.44,66.62,20,False,,
21,2099,0,93.62,113.44,69.95,21,False,,
22,2101,0,93.41,113.54,73.28,22,False,,
23,2107,0,93.41,113.54,76.61,23,False,,
24,2109,0,93.56,113.44,79.94,24,False,,
25,2111,0,93.56,113.44,83.27,25,False,,
26,2113,0,93.46,113.33,86.6,26,False,,
27,2115,0,93.46,113.59,89.93,27,False,,
28,2117,0,93.31,113.64,93.26,28,False,,
29,2119,0,93.77,113.18,96.6,29,False,,
30,2121,0,93.82,113.28,99.93,30,False,,
31,2123,0,93.93,113.18,103.26,31,False,,
32,2125,0,94.19,112.61,106.59,32,False,,
33,2127,0,94.86,112.4,109.92,33,False,,
34,2129,0,95.43,111.83,113.25,34,False,,
35,2131,0,95.89,111.42,116.58,35,False,,
36,2133,0,96.77,110.18,119.91,36,False,,
37,2135,0,97.65,108.88,123.24,37,False,,
38,2137,0,98.33,108.0,126.57,38,False,,
39,2139,0,98.84,107.59,129.9,39,False,,
