xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
261.96	280.721	3.77652	268.609	276.25	3.75209	265.661	278.232	3.7367	3.78061e-05	40	37.4558	4.23068	2.11757	0.865722	5.62314	2.0932	0.928133	9.36522	1.93892	0.978334	0	0
5.09839	280.763	3.10523	11.9725	276.891	4.04973	8.94	278.6	3.6797	0.00345906	72	64.7696	4.69381	4.07643	0.495744	5.51169	4.13233	0.661734	9.23939	4.24021	0.888474	0	1
76.9192	280.787	5.77469	72.169	272.035	5.28686	75.0319	277.33	5.25364	0.0161841	57.5	81.3553	6.03898	4.68829	0.630318	6.89683	3.04915	0.896961	11.5197	4.31303	0.927265	0	2
115.244	257.885	3.08592	126.986	257.759	3.19389	121.118	257.824	3.15194	0.000319948	27	50.1421	5.48149	1.78619	0.945418	6.91832	1.58929	0.973256	13.2592	1.40515	0.994369	0	3
88.2533	257.276	6.11694	75.9347	251.944	5.72235	83.4348	255.203	5.85369	0.00538876	89.5	114.468	7.04641	6.60317	0.34907	10.0254	3.69397	0.929643	15.4756	5.66616	0.930562	0	4
20.3394	229.3	2.21096	26.4935	236.885	2.26564	23.6833	233.417	2.2526	0.000235954	41	44.2843	4.863	2.05346	0.906474	6.36582	1.90941	0.953956	11.2352	1.79134	0.987208	0	5
240.272	230.59	2.04211	245.984	238.346	2.08462	243.246	234.619	2.17339	0.000446987	100.5	60.1838	5.49423	3.99694	0.686131	7.18809	3.69172	0.858037	11.5314	3.80642	0.943949	0	6
142.65	248.179	3.91798	143.922	231.905	5.00776	143.209	240.945	4.59415	0.00291543	72.5	87.4975	10.3919	3.12886	0.953597	10.1439	1.79325	0.98425	18.4394	5.93775	0.946735	0	7
59.0825	220.69	0.574308	49.6811	226.318	0.540699	54.7576	223.273	0.545864	0.000112263	45	49.1127	6.32516	1.98236	0.949618	5.80216	1.90054	0.944831	12.616	1.75844	0.990239	0	8
287.923	228.432	4.34476	283.876	213.162	5.34322	286.194	221.906	4.96672	0.00280153	115.5	124.811	10.7638	6.29674	0.81104	12.0496	3.43799	0.958432	18.6933	7.04255	0.926318	0	9
174.358	204.736	1.90918	175.012	211.308	1.55256	174.737	208.553	1.66101	0.00337861	21.5	34.7279	3.43891	1.81355	0.849641	4.69987	1.7671	0.926624	7.7309	1.68518	0.975953	0	10
67.0436	204.444	3.40177	76.0284	201.857	3.36813	72.1964	202.964	3.41059	0.000126803	36	42.9706	4.35973	1.94288	0.895211	6.49972	1.83805	0.959182	10.8225	1.71151	0.987416	0	11
258.938	201.678	0.664521	253.369	205.978	0.735291	256.615	203.462	0.667759	0.00016362	24	32.9706	4.71552	1.82089	0.922437	3.7262	1.70903	0.888616	8.31738	1.58292	0.981723	0	12
216.433	202.799	1.51744	215.557	212.147	1.49199	215.955	207.91	1.48154	0.000589486	47	40.4853	4.5435	2.23503	0.870641	5.642	2.19349	0.921331	10.6504	2.07822	0.980777	0	13
163.618	202.635	4.76482	163.514	196.184	4.60721	163.571	199.771	4.72462	0.00200896	20.5	32.3848	4.1012	1.9364	0.881515	3.51722	1.92351	0.837208	7.40841	1.67343	0.974154	0	14
71.2292	192.434	3.35253	84.9546	190.32	3.26892	78.2308	191.354	3.29623	0.000234126	37	59.799	6.81612	1.74716	0.96659	8.05718	1.60171	0.980041	15.7165	1.49878	0.995443	0	15
119.006	201.516	3.63201	129.456	192.528	4.03458	124.272	196.978	3.86284	0.00354879	98	92.2254	9.17855	4.05385	0.89718	10.7812	2.98739	0.960844	16.9855	3.928	0.972893	0	16
3.35607	198.37	4.18486	6.39765	188.454	4.49595	4.7125	193.912	4.39669	0.0193463	55	53.799	5.91375	2.86213	0.875079	6.0361	2.15379	0.934174	11.9283	2.59885	0.975977	0	17
311.349	174.504	3.77931	315.243	171.727	3.85637	313.621	172.862	3.78253	0.00016462	18.5	22.7279	2.37151	1.87127	0.614315	3.19105	1.90847	0.801444	5.54392	1.71994	0.950658	0	18
46.3254	172.699	5.82417	32.543	169.888	0.161397	40.5988	171.535	6.09111	0.0013994	118.5	123.64	8.74817	5.51395	0.776354	9.45909	5.18648	0.836278	16.3656	5.76931	0.935802	0	19
273.388	166.57	2.33318	282.21	172.902	2.64757	278.234	170.05	2.52251	0.000731943	114	65.2548	6.46153	3.81931	0.806609	7.5298	3.79124	0.863996	12.8673	3.80994	0.955159	0	20
223.53	171.701	3.98621	228.475	165.093	4.02872	225.848	168.606	4.0605	0.000130293	16.5	38.0416	4.77364	1.55348	0.945567	4.22451	1.48803	0.935911	9.37845	1.3253	0.989965	0	21
