 ,Label,Area,X,Y,XM,YM
1,C1-video5AC.tif:1,3.514,45.419,13.319,45.419,13.319
2,C1-video5AC.tif:1,2.057,80.437,16.620,80.437,16.620
3,C1-video5AC.tif:1,2.657,79.909,21.271,79.909,21.271
4,C1-video5AC.tif:1,2.828,81.426,23.836,81.426,23.836
5,C1-video5AC.tif:1,2.571,53.685,24.057,53.685,24.057
6,C1-video5AC.tif:1,2.400,51.654,26.374,51.654,26.374
7,C1-video5AC.tif:1,2.057,73.369,27.182,73.369,27.182
8,C1-video5AC.tif:1,4.585,63.033,26.688,63.033,26.688
9,C1-video5AC.tif:1,4.842,10.824,27.733,10.824,27.733
10,C1-video5AC.tif:1,2.228,85.630,27.635,85.630,27.635
11,C1-video5AC.tif:1,3.556,69.621,28.849,69.621,28.849
12,C1-video5AC.tif:1,2.228,87.780,30.600,87.780,30.600
13,C1-video5AC.tif:1,5.570,86.180,31.638,86.180,31.638
14,C1-video5AC.tif:1,2.571,83.652,31.581,83.652,31.581
15,C1-video5AC.tif:1,2.571,8.111,31.271,8.111,31.271
16,C1-video5AC.tif:1,2.271,50.936,31.111,50.936,31.111
17,C1-video5AC.tif:1,2.828,41.159,32.882,41.159,32.882
18,C1-video5AC.tif:1,2.914,44.054,34.861,44.054,34.861
19,C1-video5AC.tif:1,2.057,83.080,36.229,83.080,36.229
20,C1-video5AC.tif:1,2.142,67.921,35.968,67.921,35.968
21,C1-video5AC.tif:1,2.014,75.548,35.712,75.548,35.712
22,C1-video5AC.tif:1,2.742,14.471,37.186,14.471,37.186
23,C1-video5AC.tif:1,2.828,49.285,37.843,49.285,37.843
24,C1-video5AC.tif:1,2.485,75.719,39.537,75.719,39.537
25,C1-video5AC.tif:1,2.999,83.072,38.916,83.072,38.916
26,C1-video5AC.tif:1,6.256,44.539,41.452,44.539,41.452
27,C1-video5AC.tif:1,6.470,27.219,39.827,27.219,39.827
28,C1-video5AC.tif:1,2.228,17.559,40.970,17.559,40.970
29,C1-video5AC.tif:1,3.899,69.901,42.993,69.901,42.993
30,C1-video5AC.tif:1,3.942,89.044,48.087,89.044,48.087
31,C1-video5AC.tif:1,3.985,7.295,48.562,7.295,48.562
32,C1-video5AC.tif:1,5.956,63.938,48.961,63.938,48.961
33,C1-video5AC.tif:1,3.642,59.179,50.714,59.179,50.714
34,C1-video5AC.tif:1,2.828,17.062,49.282,17.062,49.282
35,C1-video5AC.tif:1,4.071,54.425,50.638,54.425,50.638
36,C1-video5AC.tif:1,2.571,25.585,50.632,25.585,50.632
37,C1-video5AC.tif:1,5.956,34.331,50.760,34.331,50.760
38,C1-video5AC.tif:1,5.613,72.008,50.185,72.008,50.185
39,C1-video5AC.tif:1,2.528,19.783,50.110,19.783,50.110
40,C1-video5AC.tif:1,3.728,39.443,51.302,39.443,51.302
41,C1-video5AC.tif:1,2.014,20.962,51.048,20.962,51.048
42,C1-video5AC.tif:1,3.856,51.561,53.896,51.561,53.896
43,C1-video5AC.tif:1,8.570,35.545,57.899,35.545,57.899
44,C1-video5AC.tif:1,3.771,40.537,56.885,40.537,56.885
45,C1-video5AC.tif:1,5.099,73.201,56.948,73.201,56.948
46,C1-video5AC.tif:1,4.328,30.678,57.543,30.678,57.543
47,C1-video5AC.tif:1,2.657,54.004,58.624,54.004,58.624
48,C1-video5AC.tif:1,3.385,51.715,60.561,51.715,60.561
49,C1-video5AC.tif:1,5.613,64.059,60.484,64.059,60.484
50,C1-video5AC.tif:1,2.785,79.585,60.993,79.585,60.993
51,C1-video5AC.tif:1,8.056,8.663,65.370,8.663,65.370
52,C1-video5AC.tif:1,3.642,12.248,62.893,12.248,62.893
53,C1-video5AC.tif:1,5.099,85.640,63.934,85.640,63.934
54,C1-video5AC.tif:1,2.442,18.944,62.654,18.944,62.654
55,C1-video5AC.tif:1,2.999,73.426,64.631,73.426,64.631
56,C1-video5AC.tif:1,2.014,6.494,64.599,6.494,64.599
57,C1-video5AC.tif:1,2.828,3.745,66.403,3.745,66.403
58,C1-video5AC.tif:1,6.684,30.681,67.954,30.681,67.954
59,C1-video5AC.tif:1,7.027,41.670,67.004,41.670,67.004
60,C1-video5AC.tif:1,3.942,53.690,67.565,53.690,67.565
61,C1-video5AC.tif:1,9.427,67.543,68.772,67.543,68.772
62,C1-video5AC.tif:1,4.028,85.938,66.562,85.938,66.562
63,C1-video5AC.tif:1,2.314,34.067,68.437,34.067,68.437
64,C1-video5AC.tif:1,2.828,74.009,67.598,74.009,67.598
65,C1-video5AC.tif:1,2.014,85.643,69.175,85.643,69.175
66,C1-video5AC.tif:1,2.228,32.587,70.412,32.587,70.412
67,C1-video5AC.tif:1,9.384,20.980,72.242,20.980,72.242
68,C1-video5AC.tif:1,2.742,43.363,70.331,43.363,70.331
69,C1-video5AC.tif:1,6.299,50.361,71.261,50.361,71.261
70,C1-video5AC.tif:1,4.156,39.532,71.845,39.532,71.845
71,C1-video5AC.tif:1,2.614,69.184,70.962,69.184,70.962
72,C1-video5AC.tif:1,7.713,78.762,74.396,78.762,74.396
73,C1-video5AC.tif:1,8.913,45.269,73.612,45.269,73.612
74,C1-video5AC.tif:1,4.199,64.506,73.060,64.506,73.060
75,C1-video5AC.tif:1,3.556,74.297,74.297,74.297,74.297
76,C1-video5AC.tif:1,5.956,32.032,74.402,32.032,74.402
77,C1-video5AC.tif:1,3.556,27.265,74.486,27.265,74.486
78,C1-video5AC.tif:1,2.357,14.883,74.748,14.883,74.748
79,C1-video5AC.tif:1,2.442,49.130,75.702,49.130,75.702
80,C1-video5AC.tif:1,3.085,59.927,75.319,59.927,75.319
81,C1-video5AC.tif:1,2.828,68.595,76.810,68.595,76.810
82,C1-video5AC.tif:1,2.228,83.970,77.080,83.970,77.080
83,C1-video5AC.tif:1,2.271,67.187,78.225,67.187,78.225
84,C1-video5AC.tif:1,2.228,53.295,78.338,53.295,78.338
85,C1-video5AC.tif:1,3.471,72.600,78.439,72.600,78.439
86,C1-video5AC.tif:1,2.442,13.025,79.254,13.025,79.254
87,C1-video5AC.tif:2,3.342,45.360,13.214,45.360,13.214
88,C1-video5AC.tif:2,2.057,80.458,16.564,80.458,16.564
89,C1-video5AC.tif:2,2.571,79.730,21.266,79.730,21.266
90,C1-video5AC.tif:2,2.785,81.435,23.918,81.435,23.918
91,C1-video5AC.tif:2,2.571,53.703,24.047,53.703,24.047
92,C1-video5AC.tif:2,2.699,51.633,26.353,51.633,26.353
93,C1-video5AC.tif:2,4.456,62.922,26.663,62.922,26.663
94,C1-video5AC.tif:2,7.456,10.147,28.606,10.147,28.606
95,C1-video5AC.tif:2,2.185,73.796,27.472,73.796,27.472
96,C1-video5AC.tif:2,2.228,85.336,27.726,85.336,27.726
97,C1-video5AC.tif:2,2.914,41.601,29.516,41.601,29.516
98,C1-video5AC.tif:2,3.599,69.564,28.844,69.564,28.844
99,C1-video5AC.tif:2,8.013,86.648,31.290,86.648,31.290
100,C1-video5AC.tif:2,2.742,83.738,31.810,83.738,31.810
101,C1-video5AC.tif:2,2.357,50.958,31.082,50.958,31.082
102,C1-video5AC.tif:2,2.828,44.072,34.732,44.072,34.732
103,C1-video5AC.tif:2,2.057,83.063,36.281,83.063,36.281
104,C1-video5AC.tif:2,2.571,14.445,37.029,14.445,37.029
105,C1-video5AC.tif:2,2.100,67.961,35.944,67.961,35.944
106,C1-video5AC.tif:2,4.456,50.494,37.571,50.494,37.571
107,C1-video5AC.tif:2,2.400,75.769,39.541,75.769,39.541
108,C1-video5AC.tif:2,2.957,82.907,38.915,82.907,38.915
109,C1-video5AC.tif:2,6.085,27.231,39.836,27.231,39.836
110,C1-video5AC.tif:2,6.470,44.443,41.532,44.443,41.532
111,C1-video5AC.tif:2,4.413,69.746,42.649,69.746,42.649
112,C1-video5AC.tif:2,2.228,17.316,41.141,17.316,41.141
113,C1-video5AC.tif:2,3.985,7.409,48.174,7.409,48.174
114,C1-video5AC.tif:2,5.185,63.861,48.952,63.861,48.952
115,C1-video5AC.tif:2,2.699,17.702,48.673,17.702,48.673
116,C1-video5AC.tif:2,2.571,60.265,48.897,60.265,48.897
117,C1-video5AC.tif:2,7.241,34.748,50.357,34.748,50.357
118,C1-video5AC.tif:2,2.142,89.403,48.591,89.403,48.591
119,C1-video5AC.tif:2,2.400,54.892,49.687,54.892,49.687
120,C1-video5AC.tif:2,2.742,25.597,50.511,25.597,50.511
121,C1-video5AC.tif:2,5.913,70.943,50.067,70.943,50.067
122,C1-video5AC.tif:2,2.485,19.876,50.080,19.876,50.080
123,C1-video5AC.tif:2,3.771,39.111,51.555,39.111,51.555
124,C1-video5AC.tif:2,2.057,21.041,51.043,21.041,51.043
125,C1-video5AC.tif:2,2.100,58.211,52.086,58.211,52.086
126,C1-video5AC.tif:2,3.856,51.603,53.730,51.603,53.730
127,C1-video5AC.tif:2,6.642,35.347,57.070,35.347,57.070
128,C1-video5AC.tif:2,3.428,40.528,56.855,40.528,56.855
129,C1-video5AC.tif:2,4.842,73.251,57.043,73.251,57.043
130,C1-video5AC.tif:2,4.413,30.637,57.581,30.637,57.581
131,C1-video5AC.tif:2,2.742,53.794,58.840,53.794,58.840
132,C1-video5AC.tif:2,3.642,51.608,60.684,51.608,60.684
133,C1-video5AC.tif:2,5.956,64.195,60.825,64.195,60.825
134,C1-video5AC.tif:2,2.699,79.529,60.962,79.529,60.962
135,C1-video5AC.tif:2,3.728,12.290,62.791,12.290,62.791
136,C1-video5AC.tif:2,7.927,8.744,65.191,8.744,65.191
137,C1-video5AC.tif:2,2.228,91.279,63.055,91.279,63.055
138,C1-video5AC.tif:2,2.400,18.881,62.658,18.881,62.658
139,C1-video5AC.tif:2,2.914,73.330,64.417,73.330,64.417
140,C1-video5AC.tif:2,3.685,86.317,64.514,86.317,64.514
141,C1-video5AC.tif:2,2.785,3.794,66.656,3.794,66.656
142,C1-video5AC.tif:2,4.928,30.369,66.788,30.369,66.788
143,C1-video5AC.tif:2,6.813,41.647,66.899,41.647,66.899
144,C1-video5AC.tif:2,3.728,53.826,67.421,53.826,67.421
145,C1-video5AC.tif:2,2.699,68.617,66.856,68.617,66.856
146,C1-video5AC.tif:2,4.114,85.832,66.464,85.832,66.464
147,C1-video5AC.tif:2,2.357,34.195,68.237,34.195,68.237
148,C1-video5AC.tif:2,2.185,85.737,69.087,85.737,69.087
149,C1-video5AC.tif:2,2.185,32.586,70.358,32.586,70.358
150,C1-video5AC.tif:2,3.471,24.688,71.669,24.688,71.669
151,C1-video5AC.tif:2,2.742,43.341,70.374,43.341,70.374
152,C1-video5AC.tif:2,6.256,49.544,71.160,49.544,71.160
153,C1-video5AC.tif:2,4.028,39.171,71.633,39.171,71.633
154,C1-video5AC.tif:2,7.756,78.671,74.501,78.671,74.501
