 ,Label,Area,X,Y,XM,YM
1,Substack (80-200):c:1/2; t:80/200 - Series 1,2.914,146.507,5.336,146.507,5.336
2,Substack (80-200):c:1/2; t:80/200 - Series 1,2.528,148.203,14.586,148.203,14.586
3,Substack (80-200):c:1/2; t:80/200 - Series 1,2.871,170.866,14.359,170.866,14.359
4,Substack (80-200):c:1/2; t:80/200 - Series 1,2.614,96.107,13.243,96.107,13.243
5,Substack (80-200):c:1/2; t:80/200 - Series 1,2.442,127.837,12.738,127.837,12.738
6,Substack (80-200):c:1/2; t:80/200 - Series 1,2.485,168.523,16.214,168.523,16.214
7,Substack (80-200):c:1/2; t:80/200 - Series 1,2.999,136.020,14.993,136.020,14.993
8,Substack (80-200):c:1/2; t:80/200 - Series 1,2.914,61.315,15.875,61.315,15.875
9,Substack (80-200):c:1/2; t:80/200 - Series 1,2.357,112.719,17.804,112.719,17.804
10,Substack (80-200):c:1/2; t:80/200 - Series 1,4.671,150.122,21.918,150.122,21.918
11,Substack (80-200):c:1/2; t:80/200 - Series 1,2.742,111.288,21.547,111.288,21.547
12,Substack (80-200):c:1/2; t:80/200 - Series 1,3.085,47.978,23.170,47.978,23.170
13,Substack (80-200):c:1/2; t:80/200 - Series 1,2.485,118.054,26.407,118.054,26.407
14,Substack (80-200):c:1/2; t:80/200 - Series 1,2.785,134.883,26.803,134.883,26.803
15,Substack (80-200):c:1/2; t:80/200 - Series 1,2.357,93.844,28.786,93.844,28.786
16,Substack (80-200):c:1/2; t:80/200 - Series 1,2.271,103.334,30.529,103.334,30.529
17,Substack (80-200):c:1/2; t:80/200 - Series 1,4.028,148.289,32.442,148.289,32.442
18,Substack (80-200):c:1/2; t:80/200 - Series 1,2.571,111.066,32.523,111.066,32.523
19,Substack (80-200):c:1/2; t:80/200 - Series 1,2.957,153.467,36.515,153.467,36.515
20,Substack (80-200):c:1/2; t:80/200 - Series 1,2.871,139.912,37.716,139.912,37.716
21,Substack (80-200):c:1/2; t:80/200 - Series 1,2.442,102.616,37.716,102.616,37.716
22,Substack (80-200):c:1/2; t:80/200 - Series 1,2.657,100.993,39.230,100.993,39.230
23,Substack (80-200):c:1/2; t:80/200 - Series 1,3.214,106.278,40.430,106.278,40.430
24,Substack (80-200):c:1/2; t:80/200 - Series 1,2.657,150.843,41.053,150.843,41.053
25,Substack (80-200):c:1/2; t:80/200 - Series 1,5.399,129.009,42.893,129.009,42.893
26,Substack (80-200):c:1/2; t:80/200 - Series 1,3.214,71.632,41.699,71.632,41.699
27,Substack (80-200):c:1/2; t:80/200 - Series 1,3.385,115.143,43.885,115.143,43.885
28,Substack (80-200):c:1/2; t:80/200 - Series 1,4.371,90.686,44.732,90.686,44.732
29,Substack (80-200):c:1/2; t:80/200 - Series 1,3.385,95.758,44.014,95.758,44.014
30,Substack (80-200):c:1/2; t:80/200 - Series 1,2.057,123.519,45.872,123.519,45.872
31,Substack (80-200):c:1/2; t:80/200 - Series 1,5.785,85.591,47.533,85.591,47.533
32,Substack (80-200):c:1/2; t:80/200 - Series 1,2.914,144.026,47.336,144.026,47.336
33,Substack (80-200):c:1/2; t:80/200 - Series 1,2.871,155.094,48.263,155.094,48.263
34,Substack (80-200):c:1/2; t:80/200 - Series 1,2.742,139.634,49.001,139.634,49.001
35,Substack (80-200):c:1/2; t:80/200 - Series 1,5.228,149.651,47.954,149.651,47.954
36,Substack (80-200):c:1/2; t:80/200 - Series 1,5.228,162.551,49.974,162.551,49.974
37,Substack (80-200):c:1/2; t:80/200 - Series 1,3.514,150.065,49.433,150.065,49.433
38,Substack (80-200):c:1/2; t:80/200 - Series 1,4.413,114.657,50.298,114.657,50.298
39,Substack (80-200):c:1/2; t:80/200 - Series 1,2.571,91.197,52.557,91.197,52.557
40,Substack (80-200):c:1/2; t:80/200 - Series 1,3.942,145.017,53.143,145.017,53.143
41,Substack (80-200):c:1/2; t:80/200 - Series 1,2.057,140.135,54.126,140.135,54.126
42,Substack (80-200):c:1/2; t:80/200 - Series 1,2.999,56.567,54.722,56.567,54.722
43,Substack (80-200):c:1/2; t:80/200 - Series 1,2.442,150.240,56.491,150.240,56.491
44,Substack (80-200):c:1/2; t:80/200 - Series 1,2.314,139.100,57.857,139.100,57.857
45,Substack (80-200):c:1/2; t:80/200 - Series 1,2.142,93.647,58.113,93.647,58.113
