spot ID,Track ID,T (sec),x (micron),y (micron),Frame ,Ids
2044,0,0.000,87.581,115.039,0,0
2049,0,3.331,87.764,115.039,1,1
2054,0,6.662,88.182,114.989,2,2
2062,0,9.993,88.389,114.885,3,3
2065,0,13.323,88.493,114.782,4,5
2067,0,16.654,88.700,114.264,5,6
2069,0,19.985,89.217,114.161,6,7
2071,0,23.316,89.217,114.368,7,8
2073,0,26.647,90.149,114.575,8,40
2075,0,29.978,91.080,114.419,9,41
2077,0,33.309,91.184,114.471,10,42
2079,0,36.640,91.442,114.419,11,43
2081,0,39.970,91.960,114.264,12,44
2083,0,43.301,91.908,114.109,13,46
2085,0,46.632,92.219,114.057,14,47
2087,0,49.963,92.219,114.057,15,48
2089,0,53.294,92.115,114.057,16,50
2091,0,56.625,92.115,114.057,17,51
2093,0,59.956,93.150,113.798,18,52
2095,0,63.287,93.719,113.540,19,54
2097,0,66.617,93.771,113.436,20,55
2099,0,69.948,93.616,113.436,21,56
2101,0,73.279,93.409,113.540,22,57
2107,0,76.610,93.409,113.540,23,58
2109,0,79.941,93.564,113.436,24,59
2111,0,83.272,93.564,113.436,25,60
2113,0,86.603,93.461,113.333,26,61
2115,0,89.934,93.461,113.591,27,166
2117,0,93.264,93.305,113.643,28,
2119,0,96.595,93.771,113.177,29,
2121,0,99.926,93.823,113.281,30,
2123,0,103.257,93.926,113.177,31,
2125,0,106.588,94.185,112.608,32,
2127,0,109.919,94.858,112.401,33,
2129,0,113.250,95.427,111.832,34,
2131,0,116.581,95.893,111.418,35,
2133,0,119.911,96.773,110.176,36,
2135,0,123.242,97.652,108.882,37,
2137,0,126.573,98.325,108.002,38,
2139,0,129.904,98.843,107.588,39,
2141,0,133.235,99.153,106.864,40,
2143,0,136.566,99.515,106.088,41,
2145,0,139.897,99.671,105.467,42,
2147,0,143.228,100.188,104.587,43,
2149,0,146.558,100.757,102.569,44,
2151,0,149.889,100.757,102.569,45,
2153,0,153.220,101.068,102.103,46,
2155,0,156.551,101.482,101.223,47,
2157,0,159.882,101.275,102.051,48,
2159,0,163.213,101.275,101.482,49,
2161,0,166.544,101.275,101.482,50,
2163,0,169.875,101.223,100.809,51,
2165,0,173.205,101.327,100.343,52,
2167,0,176.536,101.327,100.343,53,
2169,0,179.867,101.120,101.637,54,
