,spot ID,Track ID,T (sec),x (micron),y (micron),Frame,Ids,squared displacement,dt,vx,vy,speed
0,2044,0,0.0,87.581,115.039,0,0.0,0.0,,,,
1,2049,0,3.331,87.764,115.039,1,1.0,0.03348899999999734,1.0,0.05487256371813875,0.0,0.05487256371813875
2,2054,0,6.662,88.182,114.989,2,2.0,0.3637009999999986,1.0,0.12533733133433475,-0.014992503748125085,0.12623082743391315
3,2062,0,9.993,88.389,114.885,3,3.0,0.6765799999999871,1.0,0.06206896551723947,-0.03118440779610171,0.06946239104705389
4,2065,0,13.323,88.493,114.782,4,5.0,0.8977929999999879,1.0,0.03118440779610171,-0.03088455772114202,0.04388989855563718
5,2067,0,16.654,88.7,114.264,5,6.0,1.8527860000000083,1.0,0.06206896551724373,-0.1553223388305849,0.16726501552979875
6,2069,0,19.985,89.217,114.161,6,7.0,3.447379999999986,1.0,0.15502248875562097,-0.03088455772113776,0.1580690606210365
7,2071,0,23.316,89.217,114.368,7,8.0,3.1267369999999945,1.0,0.0,0.06206896551723947,0.06206896551723947
8,2073,0,26.647,90.149,114.575,8,40.0,6.8099199999999875,1.0,0.2794602698650681,0.06206896551724373,0.2862701502312763
9,2075,0,29.978,91.08,114.419,9,41.0,12.62740099999997,1.0,0.27916041979010414,-0.046776611694154695,0.28305227675991745
10,2077,0,33.309,91.184,114.471,10,42.0,13.304232999999957,1.0,0.03118440779610171,0.015592203898052985,0.034865227835079865
11,2079,0,36.64,91.442,114.419,11,43.0,15.291720999999928,1.0,0.07736131934032851,-0.015592203898052985,0.07891698519631085
12,2081,0,39.97,91.96,114.264,12,44.0,19.776265999999925,1.0,0.1553223388305849,-0.046476761619190746,0.16212685869531338
13,2083,0,43.301,91.908,114.109,13,46.0,19.587828999999996,1.0,-0.015592203898048725,-0.046476761619190746,0.04902250700449139
14,2085,0,46.632,92.219,114.057,14,47.0,22.475367999999914,1.0,0.09325337331334119,-0.015592203898048725,0.09454791619446565
15,2087,0,49.963,92.219,114.057,15,48.0,22.475367999999914,1.0,0.0,0.0,0.0
16,2089,0,53.294,92.115,114.057,16,50.0,21.521479999999922,1.0,-0.03118440779610171,0.0,0.03118440779610171
17,2091,0,56.625,92.115,114.057,17,51.0,21.521479999999922,1.0,0.0,0.0,0.0
18,2093,0,59.956,93.15,113.798,18,52.0,32.55384200000003,1.0,0.3103448275862101,-0.07766116941529246,0.31991431547285476
19,2095,0,63.287,93.719,113.54,19,54.0,39.922044999999876,1.0,0.1706146926536697,-0.07736131934032851,0.18733431901117972
20,2097,0,66.617,93.771,113.436,20,55.0,40.88570899999995,1.0,0.015592203898052985,-0.03118440779610171,0.034865227835079865
21,2099,0,69.948,93.616,113.436,21,56.0,38.990833999999936,1.0,-0.046476761619190746,0.0,0.046476761619190746
22,2101,0,73.279,93.409,113.54,22,57.0,36.21258500000002,1.0,-0.06206896551723947,0.03118440779610171,0.06946239104705389
23,2107,0,76.61,93.409,113.54,23,58.0,36.21258500000002,1.0,0.0,0.0,0.0
24,2109,0,79.941,93.564,113.436,24,59.0,38.36589799999986,1.0,0.046476761619186485,-0.03118440779610171,0.05596924745072293
25,2111,0,83.272,93.564,113.436,25,60.0,38.36589799999986,1.0,0.0,0.0,0.0
26,2113,0,86.603,93.461,113.333,26,61.0,37.48483599999996,1.0,-0.03088455772113776,-0.03088455772114202,0.04367736039713072
27,2115,0,89.934,93.461,113.591,27,166.0,36.67110399999997,1.0,0.0,0.07736131934032851,0.07736131934032851
28,2117,0,93.264,93.305,113.643,28,,34.71299200000004,1.0,-0.046776611694150434,0.015592203898052985,0.049306878059595195
29,2119,0,96.595,93.771,113.177,29,,41.78314399999995,1.0,0.13973013493253192,-0.13973013493253192,0.1976082518938092
30,2121,0,99.926,93.823,113.281,30,,42.053127999999866,1.0,0.015592203898048725,0.03118440779610171,0.03486522783507796
31,2123,0,103.257,93.926,113.177,31,,43.72606899999997,1.0,0.03088455772114202,-0.03118440779610171,0.04388989855563718
32,2125,0,106.588,94.185,112.608,32,,49.52257699999998,1.0,0.07766116941529246,-0.17061469265367396,0.18745834359734
33,2127,0,109.919,94.858,112.401,33,,59.91377300000004,1.0,0.20179910044977567,-0.06206896551724373,0.21112894975042965
34,2129,0,113.25,95.427,111.832,34,,71.8445650000001,1.0,0.17061469265367396,-0.17061469265367396,0.24128561229094297
35,2131,0,116.581,95.893,111.418,35,,82.20098499999992,1.0,0.13973013493253192,-0.12413793103447894,0.18690836399097988
36,2133,0,119.911,96.773,110.176,36,,108.14163299999987,1.0,0.2638680659670151,-0.37241379310344963,0.45641909417866383
37,2135,0,123.242,97.652,108.882,37,,139.33368999999993,1.0,0.2635682158920554,-0.38800599700149835,0.4690595464732041
38,2137,0,126.573,98.325,108.002,38,,164.95290500000007,1.0,0.20179910044977567,-0.2638680659670194,0.33218855064483177
39,2139,0,129.904,98.843,107.588,39,,182.35004500000014,1.0,0.1553223388305849,-0.1241379310344832,0.19883474259124118
40,2141,0,133.235,99.153,106.864,40,,200.74180900000005,1.0,0.09295352323838149,-0.21709145427286045,0.23615473105727477
41,2143,0,136.566,99.515,106.088,41,,222.5407570000001,1.0,0.10854572713643022,-0.23268365817091768,0.2567564208727346
42,2145,0,139.897,99.671,105.467,42,,237.79128400000013,1.0,0.046776611694154695,-0.18620689655172268,0.19199234288119327
43,2147,0,143.228,100.188,104.587,43,,268.1807529999999,1.0,0.15502248875562097,-0.2638680659670151,0.30603648190560495
44,2149,0,146.558,100.757,102.569,44,,329.10787600000003,1.0,0.17061469265367396,-0.605097451274363,0.6286909406759713
45,2151,0,149.889,100.757,102.569,45,,329.10787600000003,1.0,0.0,0.0,0.0
46,2153,0,153.22,101.068,102.103,46,,349.23926500000005,1.0,0.09325337331334119,-0.1397301349325362,0.16799018495906878
47,2155,0,156.551,101.482,101.223,47,,384.11965699999996,1.0,0.1241379310344832,-0.2638680659670151,0.29161032587803737
48,2157,0,159.882,101.275,102.051,48,,356.21378000000004,1.0,-0.06206896551723947,0.2482758620689664,0.2559169009004069
49,2159,0,163.213,101.275,101.482,49,,371.31788500000016,1.0,0.0,-0.17061469265367396,0.17061469265367396
50,2161,0,166.544,101.275,101.482,50,,371.31788500000016,1.0,0.0,0.0,0.0
51,2163,0,169.875,101.223,100.809,51,,388.597064,1.0,-0.015592203898052985,-0.20179910044977567,0.20240057748123425
52,2165,0,173.205,101.327,100.343,52,,404.9249319999998,1.0,0.03118440779610171,-0.13973013493253192,0.14316765660531414
53,2167,0,176.536,101.327,100.343,53,,404.9249319999998,1.0,0.0,0.0,0.0
54,2169,0,179.867,101.12,101.637,54,,362.9181250000001,1.0,-0.06206896551723947,0.38800599700149835,0.3929391940103545
55,2171,0,183.198,101.275,101.741,55,,364.3624400000001,1.0,0.046476761619190746,0.03118440779610171,0.05596924745072646
56,2173,0,186.529,101.068,101.999,56,,351.94076900000005,1.0,-0.06206896551724373,0.07736131934032851,0.09918331619005828
57,2175,0,189.86,101.327,101.534,57,,371.33754099999976,1.0,0.07766116941529246,-0.13943028485756798,0.15959969163633525
58,2177,0,193.191,101.378,101.12,58,,384.09576999999985,1.0,0.015292353823089036,-0.1241379310344832,0.1250763047382383
59,2179,0,196.522,101.223,101.275,59,,375.5518599999998,1.0,-0.046476761619190746,0.046476761619190746,0.06572806661704088
60,2181,0,199.852,100.964,102.465,60,,337.21016499999985,1.0,-0.07766116941529246,0.35682158920539664,0.3651751685944919
61,2183,0,203.183,100.964,102.62,61,,333.33624999999984,1.0,0.0,0.046476761619190746,0.046476761619190746
62,2185,0,206.514,101.12,102.206,62,,347.99041,1.0,0.046776611694154695,-0.1241379310344832,0.13265849887251038
63,2187,0,209.845,101.12,102.051,63,,351.99266500000004,1.0,0.0,-0.046476761619190746,0.046476761619190746
64,2189,0,213.176,101.12,102.051,64,,351.99266500000004,1.0,0.0,0.0,0.0
65,2191,0,216.507,101.12,102.051,65,,351.99266500000004,1.0,0.0,0.0,0.0
66,2193,0,219.838,101.741,101.016,66,,397.15012899999977,1.0,0.18620689655172268,-0.31034482758620585,0.3619211520938446
67,2195,0,223.169,101.741,101.016,67,,397.15012899999977,1.0,0.0,0.0,0.0
68,2197,0,226.499,101.741,100.964,68,,398.611225,1.0,0.0,-0.015592203898052985,0.015592203898052985
69,2199,0,229.83,101.585,100.499,69,,407.52361599999995,1.0,-0.046776611694154695,-0.13943028485757225,0.14706752101347692
70,2201,0,233.161,101.741,100.136,70,,422.6050090000001,1.0,0.046776611694154695,-0.10884557721139416,0.11847114028347705
71,2203,0,236.492,101.741,99.205,71,,451.221156,1.0,0.0,-0.27916041979010414,0.27916041979010414
72,2205,0,239.823,101.43,98.584,72,,462.561826,1.0,-0.09325337331334119,-0.18620689655172268,0.2082527309730687
73,2207,0,243.154,101.482,98.066,73,,481.32052999999985,1.0,0.015592203898048725,-0.1553223388305849,0.15610299728769256
74,2209,0,246.485,101.378,97.652,74,,492.6649779999999,1.0,-0.03118440779610171,-0.1241379310344832,0.12799489525412988
75,2211,0,249.816,101.171,96.41,75,,531.7277410000003,1.0,-0.06206896551723947,-0.37241379310344963,0.3775507777426491
76,2213,0,253.146,101.327,96.048,76,,549.6105969999999,1.0,0.046776611694150434,-0.10854572713643022,0.1181957117714585
77,2215,0,256.477,101.275,96.566,77,,528.777365,1.0,-0.015592203898048725,0.1553223388305849,0.15610299728769256
78,2217,0,259.808,101.275,96.566,78,,528.777365,1.0,0.0,0.0,0.0
79,2219,0,263.139,101.275,96.566,79,,528.777365,1.0,0.0,0.0,0.0
80,2221,0,266.47,101.275,96.566,80,,528.777365,1.0,0.0,0.0,0.0
81,2223,0,269.801,101.275,96.566,81,,528.777365,1.0,0.0,0.0,0.0
82,2225,0,273.132,101.12,96.462,82,,528.40945,1.0,-0.046476761619190746,-0.03118440779610171,0.05596924745072646
83,2227,0,276.463,101.068,95.738,83,,554.42777,1.0,-0.015592203898052985,-0.2170914542728647,0.21765067502929036
84,2229,0,279.793,101.12,95.427,84,,567.9350649999999,1.0,0.015592203898052985,-0.09325337331334119,0.09454791619446634
85,2231,0,283.124,101.12,95.427,85,,567.9350649999999,1.0,0.0,0.0,0.0
86,2233,0,286.455,101.12,95.427,86,,567.9350649999999,1.0,0.0,0.0,0.0
87,2235,0,289.786,101.223,95.168,87,,580.9608049999997,1.0,0.03088455772113776,-0.07766116941529246,0.08357698930077015
88,2237,0,293.117,101.223,95.168,88,,580.9608049999997,1.0,0.0,0.0,0.0
