Frame total,Track ID,Classification
400,0,Back
400,4,Back
400,5,Back
400,8,Back
400,15,Back
400,25,Back
400,26,Back
274,73,Back
247,74,Leading_edge
400,75,Back
364,76,Back
400,77,Back
328,79,Back
400,81,Back
400,82,Leading_edge
400,84,Back
400,290,Leading_edge
400,291,Leading_edge
400,292,Leading_edge
315,293,Back
349,297,Back
400,305,Back
400,306,Back
400,307,Leading_edge
370,497,Leading_edge
400,498,Leading_edge
400,499,Leading_edge
400,630,Leading_edge
400,631,Leading_edge
400,706,Leading_edge
400,707,Leading_edge
