#Track ID	T (sec)	x (micron)	y (micron)
5	0.000	21.701	138.104
5	3.336	21.683	137.914
5	6.671	21.735	137.914
5	10.007	21.735	137.914
5	13.343	21.735	137.914
5	16.678	21.735	137.966
5	20.014	21.735	137.966
5	23.350	21.787	137.862
5	26.685	21.787	137.862
5	30.021	21.787	137.862
5	33.357	21.787	137.862
5	36.693	21.787	137.862
5	40.028	21.787	137.862
5	43.364	21.787	137.862
5	46.700	21.787	137.862
5	50.035	21.787	137.862
5	53.371	21.787	137.862
5	56.707	21.787	137.862
5	60.042	21.787	138.224
5	63.378	21.373	138.587
5	66.714	21.425	138.535
5	70.049	21.425	138.535
5	73.385	21.735	138.173
5	76.721	21.735	138.587
5	80.056	21.787	138.638
5	83.392	21.787	138.794
5	86.728	21.787	138.794
5	90.063	21.787	138.794
5	93.399	21.580	138.690
5	96.735	21.994	137.862
5	100.071	21.994	137.862
5	103.406	21.890	138.121
5	106.742	22.046	137.707
5	110.078	23.184	137.345
5	113.413	23.236	137.138
5	116.749	23.546	136.879
5	120.085	23.805	136.206
5	123.420	24.944	135.430
5	126.756	24.840	135.119
5	130.092	24.840	135.119
5	133.427	25.306	134.654
5	136.763	25.823	133.463
5	140.099	26.393	132.325
5	143.434	26.600	131.135
5	146.770	26.910	131.083
5	150.106	26.807	130.514
5	153.441	26.807	130.255
5	156.777	26.962	129.893
5	160.113	26.962	129.893
5	163.449	27.531	129.013
5	166.784	27.686	128.702
5	170.120	27.686	128.702
5	173.456	28.049	128.133
5	176.791	28.100	127.771
5	180.127	28.152	127.305
5	183.463	28.204	126.322
5	186.798	28.204	126.322
5	190.134	28.204	126.684
5	193.470	28.049	126.943
5	196.805	28.049	126.788
5	200.141	28.049	126.788
5	203.477	28.359	126.839
5	206.812	28.514	126.581
5	210.148	28.514	126.581
5	213.484	28.307	126.581
5	216.819	28.670	126.581
5	220.155	28.670	126.581
5	223.491	28.307	126.477
5	226.827	28.514	126.529
5	230.162	28.204	127.305
5	233.498	28.152	127.512
5	236.834	27.945	127.616
5	240.169	27.842	128.702
5	243.505	27.583	128.858
5	246.841	26.858	129.116
5	250.176	25.513	129.530
5	253.512	25.099	129.530
5	256.848	25.099	129.530
5	260.183	25.461	129.686
5	263.519	25.151	129.323
5	266.855	25.202	129.634
5	270.190	25.099	130.048
5	273.526	25.254	129.944
5	276.862	25.668	130.100
5	280.197	25.927	130.617
5	283.533	25.979	130.876
5	286.869	26.030	130.772
5	290.205	26.444	130.358
5	293.540	26.651	130.048
5	296.876	27.686	129.737
5	300.212	29.239	129.427
5	303.547	29.601	129.168
5	306.883	30.119	129.375
5	310.219	31.516	128.961
5	313.554	31.568	128.754
5	316.890	31.568	128.754
5	320.226	32.861	128.237
5	323.561	32.706	128.806
5	326.897	32.706	129.013
5	330.233	32.240	129.479
5	333.568	32.137	129.582
5	336.904	32.137	129.582
5	340.240	32.861	128.909
5	343.575	33.534	128.858
5	346.911	34.017	129.065
5	350.247	34.155	129.220
5	353.583	34.776	128.754
5	356.918	35.242	128.392
5	360.254	36.225	127.926
5	363.590	36.691	127.460
5	366.925	36.639	128.133
5	370.261	37.415	127.150
5	373.597	37.778	126.632
5	376.932	37.778	126.632
5	380.268	38.243	126.477
5	383.604	38.554	126.270
5	386.939	39.123	125.804
5	390.275	39.382	125.546
5	393.611	39.641	124.925
5	396.946	39.744	124.407
5	400.282	39.744	124.407
5	403.618	39.744	124.407
5	406.953	39.951	124.045
5	410.289	39.951	124.045
5	413.625	39.951	124.304
5	416.961	39.744	124.769
5	420.296	39.744	124.769
5	423.632	39.796	124.097
5	426.968	40.003	124.097
5	430.303	40.003	124.511
5	433.639	39.692	124.614
5	436.975	39.692	124.614
5	440.310	39.692	124.614
5	443.646	39.641	124.873
5	446.982	39.641	124.873
5	450.317	39.796	124.718
5	453.653	39.744	124.821
5	456.989	39.848	124.666
5	460.324	39.848	124.666
5	463.660	39.848	124.666
5	466.996	39.848	124.666
5	470.331	39.848	124.666
5	473.667	39.589	124.718
5	477.003	39.589	124.718
5	480.339	39.899	124.511
5	483.674	39.899	124.511
5	487.010	39.899	124.511
5	490.346	39.899	124.511
5	493.681	39.899	124.511
5	497.017	39.899	124.511
5	500.353	39.692	124.666
5	503.688	39.951	124.511
5	507.024	39.951	124.511
5	510.360	40.106	124.252
5	513.695	40.417	123.217
5	517.031	40.779	122.389
5	520.367	41.141	121.716
5	523.702	41.141	121.406
5	527.038	41.400	120.992
5	530.374	41.400	120.526
5	533.709	41.555	120.008
5	537.045	41.607	119.801
5	540.381	41.918	119.232
5	543.717	42.176	118.663
5	547.052	42.228	118.197
5	550.388	42.228	117.990
5	553.724	42.228	117.887
5	557.059	42.435	117.731
5	560.395	42.332	117.214
5	563.731	42.332	116.903
5	567.066	42.383	116.852
5	570.402	42.383	116.852
5	573.738	42.383	116.852
5	577.073	42.125	116.903
5	580.409	42.125	116.903
5	583.745	42.125	116.748
5	587.080	42.125	116.489
5	590.416	42.228	115.817
5	593.752	41.866	116.024
5	597.087	42.487	115.661
5	600.423	42.849	115.403
5	603.759	42.694	115.351
5	607.095	42.849	115.247
5	610.430	43.729	114.368
5	613.766	43.729	114.368
5	617.102	43.729	114.368
5	620.437	43.625	114.368
5	623.773	43.625	114.368
5	627.109	43.625	114.368
5	630.444	43.625	114.368
5	633.780	44.039	114.264
5	637.116	44.402	114.212
5	640.451	44.246	114.212
5	643.787	45.333	114.471
5	647.123	45.437	114.523
5	650.458	45.437	114.523
5	653.794	45.902	114.678
5	657.130	46.265	114.730
5	660.465	46.316	114.833
5	663.801	46.316	114.833
5	667.137	45.851	114.782
5	670.473	45.851	114.782
5	673.808	46.058	114.782
5	677.144	45.281	114.678
5	680.480	45.281	114.678
5	683.815	43.677	114.471
5	687.151	43.677	114.471
5	690.487	44.195	114.109
5	693.822	44.971	113.798
5	697.158	45.747	113.798
5	700.494	46.368	113.643
5	703.829	47.455	113.074
5	707.165	48.024	113.074
5	710.501	48.335	113.022
5	713.836	48.749	113.384
5	717.172	47.041	112.815
5	720.508	46.834	112.349
5	723.843	46.316	112.246
5	727.179	46.161	112.246
5	730.515	45.851	111.935
5	733.851	45.851	111.935
5	737.186	46.575	111.935
5	740.522	46.575	111.935
5	743.858	45.540	111.470
5	747.193	46.006	111.470
5	750.529	46.006	111.470
5	753.865	45.902	111.418
5	757.200	46.058	111.625
5	760.536	46.109	111.625
5	763.872	46.575	112.039
5	767.207	47.093	112.039
5	770.543	47.351	112.039
5	773.879	48.283	112.349
5	777.214	48.593	112.505
5	780.550	48.335	112.349
5	783.886	48.179	112.453
5	787.221	48.386	112.660
5	790.557	48.386	112.505
5	793.893	48.438	112.194
5	797.229	48.231	112.194
5	800.564	48.749	112.246
5	803.900	49.628	112.142
5	807.236	50.767	112.246
5	810.571	51.233	112.194
5	813.907	51.854	112.298
5	817.243	52.526	112.401
5	820.578	54.286	113.333
5	823.914	54.648	113.643
5	827.250	55.476	114.057
5	830.585	56.615	114.523
5	833.921	56.615	114.626
5	837.257	57.132	114.833
5	840.592	57.339	114.626
5	843.928	57.339	114.626
5	847.264	57.339	114.626
5	850.599	57.287	114.678
5	853.935	57.546	114.782
5	857.271	57.908	115.196
5	860.607	59.099	115.403
5	863.942	59.047	115.454
5	867.278	59.978	115.403
5	870.614	60.341	115.196
5	873.949	60.444	115.403
5	877.285	61.427	115.610
5	880.621	62.100	115.713
5	883.956	62.204	115.713
5	887.292	63.187	115.299
5	890.628	63.808	114.782
5	893.963	64.481	114.316
5	897.299	64.946	114.161
5	900.635	65.516	113.695
5	903.970	65.619	113.333
5	907.306	65.619	113.333
